Cp1252
"Application",a001,"Home","Pagina iniziale",""
"Application",a002,"Data Tables","Tabelle dati",""
"Application",a003,"Welcome to AribaWeb!","Benvenuto in AribaWeb",""
"Application",a004,"Actions","Azioni",""
"Application",a005,"Documentation","Documentazione",""
"Application",a006,"Pivot Tables","Tabelle pivot",""
"Application",a007,"Forms","Moduli",""
"Application",a008,"Mini App","Mini applicazione",""
"Application",a009,"Favorites","Preferiti",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> è una piattaforma di sviluppo Open source basata su componenti, progettata per creare applicazioni Web complete con funzionalità AJAX, riducendo al minimo il codice necessario e senza codice Javascript scritto a mano.</b> I componenti AribaWeb distribuiti comprendono sia la piattaforma di elaborazione e gestione delle richieste a un livello relativamente vicino al codice macchina (ariba.aribaweb) che la libreria di componenti per l'interfaccia utenti a un livello superiore (ariba.widgets, ariba.metaui, ecc.)",""
"HomeContent",a002,"The Demo Application","Applicazione dimostrativa",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","Questa applicazione dimostra l''uso di alcuni widget di AribaWeb. Fare clic sulle varie schede in alto per esplorare <b>{0}tabelle dati{/0}</b>, <b>{1}tabelle pivot{/1}</b>, <b>{2}moduli dati{/2}</b> (sia specificati da un modello che derivati da metadati) e una <b>{3}mini applicazione{/3}</b> più complessa, che simula un editor di note spese e utilizza alcune di queste funzionalità.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","Selezionare <b>Controllo componente</b> dal collegamento <b>Opzioni AribaWeb</b> visualizzato in alto...",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>Cerca sorgente</h2> La scheda <b>{0}Documentazione{/0}</b> consente di cercare o esaminare la documentazione e il codice sorgente AribaWeb.",""
"Toc",a001,"Browse","Sfoglia",""
"Toc",a002,"Documentation","Documentazione",""
"Toc",a003,"Component Inspector","Controllo componente",""
"Toc",a004,"Gallery","Raccolta",""
"Toc",a005,"Data Tables","Tabelle dati",""
"Toc",a006,"Pivot Tables","Tabelle pivot",""
"Toc",a007,"Forms (MetaUI)","Moduli (MetaUI)",""
"Toc",a008,"File Upload","Caricamento file",""
"Toc",a009,"Fun","Divertimento",""
"Toc",a010,"Master Detail app","Applicazione master-detail",""
"Toc",a011,"YouTube Browser","Browser YouTube",""
"Toc",a012,"Charts","Grafici",""
"Toc",a013,"Maps","Mappe",""
"Toc",a014,"Mail Reader","Lettore posta",""
"Toc",a015,"Map Race","Traccia mappa corsa",""
"Toc",a016,"Tests","Test",""
"Toc",a017,"Refresh Region Test","Test aggiornamento regione",""
