KS_C_5601-1987
"Application",a001,"Home","홈",""
"Application",a002,"Data Tables","데이터 테이블",""
"Application",a003,"Welcome to AribaWeb!","AribaWeb에 오신 것을 환영합니다!",""
"Application",a004,"Actions","조치",""
"Application",a005,"Documentation","문서",""
"Application",a006,"Pivot Tables","피벗 테이블",""
"Application",a007,"Forms","양식",""
"Application",a008,"Mini App","미니 응용프로그램",""
"Application",a009,"Favorites","즐겨찾기",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a>은 최소화된 코드만으로 JavaScript 수작업 코딩 없이 AJAX를 지원하는 다양한 응용프로그램을 작성하기 위한 오픈 소스 구성 요소 기반 웹 응용프로그램 개발 프레임워크입니다.</b> AW 배포에는 비교적 낮은 수준의 핵심 렌더링, 요청 처리 프레임워크(ariba.aribaweb) 및 높은 수준의 UI 구성 요소 라이브러리(ariba.widgets, ariba.metaui, ...)가 포함됩니다.",""
"HomeContent",a002,"The Demo Application","데모 응용프로그램",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","이 응용프로그램은 AW의 일부 번들 위젯을 선보입니다. 맨 위의 탭을 클릭하고 <b>{0}데이터 테이블{/0}</b>, <b>{1}피벗 테이블{/1}</b>, <b>{2}데이터 양식{/2}</b>(템플릿 지정 및 메타데이터 파생 양식) 및 이러한 기능들이 조합되어 있는 보다 복잡한 <b>{3}미니 응용프로그램{/3}</b>(시뮬레이션된 경비 보고서 편집기)을 탐색하십시오.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","위의 <b>AW 옵션</b> 링크에서 <b>구성 요소 검사기</b>를 선택해 보십시오.",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>소스 검색</h2> <b>{0}문서{/0}</b> 탭을 확인하여 AribaWeb 문서 및 소스 코드를 찾아보거나 검색하십시오.",""
"Toc",a001,"Browse","찾아보기",""
"Toc",a002,"Documentation","문서",""
"Toc",a003,"Component Inspector","구성 요소 검사기",""
"Toc",a004,"Gallery","갤러리",""
"Toc",a005,"Data Tables","데이터 테이블",""
"Toc",a006,"Pivot Tables","피벗 테이블",""
"Toc",a007,"Forms (MetaUI)","양식(메타 UI)",""
"Toc",a008,"File Upload","파일 업로드",""
"Toc",a009,"Fun","재미",""
"Toc",a010,"Master Detail app","마스터 세부 응용프로그램",""
"Toc",a011,"YouTube Browser","YouTube 브라우저",""
"Toc",a012,"Charts","차트",""
"Toc",a013,"Maps","맵",""
"Toc",a014,"Mail Reader","전자우편 프로그램",""
"Toc",a015,"Map Race","맵 레이스",""
"Toc",a016,"Tests","테스트",""
"Toc",a017,"Refresh Region Test","지역 테스트 새로 고침",""
