Cp1252
"Application",a001,"Home","Início",""
"Application",a002,"Data Tables","Tabelas de dados",""
"Application",a003,"Welcome to AribaWeb!","Bem-vindo ao AribaWeb!",""
"Application",a004,"Actions","Ações",""
"Application",a005,"Documentation","Documentação",""
"Application",a006,"Pivot Tables","Tabelas dinâmicas",""
"Application",a007,"Forms","Formulários",""
"Application",a008,"Mini App","Miniaplicativo",""
"Application",a009,"Favorites","Favoritos",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","O <b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> é uma estrutura de desenvolvimento de aplicativos para Web baseada em componentes de código aberto, destinada à criação de aplicativos sofisticados habilitados para AJAX com o mínimo possível de código (e sem nenhuma codificação em Javascript manual).</b> A distribuição do AW inclui tanto renderização de núcleo de (relativamente) nível inferior e estrutura de manipulação de solicitações (ariba.aribaweb) como uma biblioteca de componentes de UI de nível superior (como ariba.widgets, ariba.metaui).",""
"HomeContent",a002,"The Demo Application","Aplicativo de demonstração",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","Esse aplicativo exibe alguns dos widgets incluídos no AW. Clique nas guias na parte superior para navegar pelas <b>{0}Tabelas de dados{/0}</b>, <b>{1}Tabelas dinâmicas{/1}</b>, <b>{2}Formulários de dados{/2}</b> (tanto do tipo especificado por modelo como do tipo derivado de metadados) e para explorar um <b>{3}Miniaplicativo{/3}</b> mais complexo (editor de Relatório de despesas simulado), que combina todos esses recursos.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","Tente selecionar <b>Component Inspector</b> no link <b>Opções do AW</b> acima...",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>Pesquisa de código</h2> Verifique a guia <b>{0}Documentação{/0}</b> para pesquisar ou navegar pela documentação e pelo código-fonte do AribaWeb.",""
"Toc",a001,"Browse","Procurar",""
"Toc",a002,"Documentation","Documentação",""
"Toc",a003,"Component Inspector","Component Inspector",""
"Toc",a004,"Gallery","Galeria",""
"Toc",a005,"Data Tables","Tabelas de dados",""
"Toc",a006,"Pivot Tables","Tabelas dinâmicas",""
"Toc",a007,"Forms (MetaUI)","Formulários (MetaUI)",""
"Toc",a008,"File Upload","Carregar arquivos",""
"Toc",a009,"Fun","Divirta-se",""
"Toc",a010,"Master Detail app","Aplicativo mestre/detalhes",""
"Toc",a011,"YouTube Browser","Navegador do YouTube",""
"Toc",a012,"Charts","Gráficos",""
"Toc",a013,"Maps","Mapas",""
"Toc",a014,"Mail Reader","Leitor de e-mails",""
"Toc",a015,"Map Race","Mapeie sua corrida",""
"Toc",a016,"Tests","Testes",""
"Toc",a017,"Refresh Region Test","Testar Refresh Region",""
