Cp1252
"DetailViewer",a001,"Date","Datum",""
"DetailViewer",a002,"Amount","Belopp",""
"DetailViewer",a003,"Attendees","Deltagare",""
"DetailViewer",a004,"Accounting","Redovisning",""
"DetailViewer",a005,"Itemize","Specificera",""
"ERPage",a001,"Expense Items","Kostnadsartiklar",""
"ERPage",a002,"Date","Datum",""
"ERPage",a003,"Type!","Skriv!",""
"ERPage",a004,"Amount","Belopp",""
"ERPage",a005,"Expense Items","Kostnadsartiklar",""
"ERPage",a006,"Charges","Avgifter",""
"ERPage",a007,"Date","Datum",""
"ERPage",a008,"Type!","Skriv!",""
"ERPage",a009,"Amount","Belopp",""
"ERPage",a010,"A side-by-side master-detail layout with type-specific detail panels!","En huvuddetaljlayout sida vid sida med typspecifika detaljpaneler!",""
"ERPage",a011,"Delete","Radera",""
"ERPage",a012,"Add New Item","Lägg till ny artikel",""
"ERPage",a013,"Big Panel","Stor panel",""
"ERPage",a014,"Long Running Action","Lång åtgärd körs",""
"ERPage",a015,"Secure Action","Säker åtgärd",""
"ERPage",a016,"Create New Expense","Skapa ny kostnad",""
"ERPage",a017,"Hotel","Hotell",""
"ERPage",a018,"Meal","Måltid",""
"ERPage",a019,"Save","Spara",""
"ERPage",a020,"Add Expense Line","Lägg till kostnadsrad",""
"ERPage",a021,"Add Charge","Lägg till avgift",""
"ERPage",a022,"Sample Long Running Operation Alert!","Exempel på varning om långkörande åtgärd!",""
"ERPage",a023,"Are you sure that you want to do this? This will take > 30 seconds!","Är du säker på att du vill göra detta? Det kommer att ta > 30 sekunder!",""
"SimpleViewer",a001,"Amount","Belopp",""
"SimpleViewer",a002,"Popup","Popupp",""
"SimpleViewer",a003,"Comments","Kommentarer",""
"UserListEditorControl",a001,"(More...)","(Mer...)",""
"UserListEditorControl",a002,"(None)","(Inget)",""
"UserListEditorControl",a003,"Edit","Redigera",""
"UserListEditorPanel",a001,"Edit User List (ClientWrapper)","Redigera användarlista (ClientWrapper)",""
"UserListEditorPanel",a002,"Name","Namn",""
"UserListEditorPanel",a003,"Title","Rubrik",""
"UserListEditorPanel",a004,"Company","Företag",""
"UserListEditorPanel",a005,"Date","Datum",""
"UserListEditorPanel",a006,"Sample Popup","Exempel på popupp",""
"UserListEditorPanel",a007,"Add","Lägg till",""
"UserListEditorPanel",a008,"Mass Add","Masstillägg",""
"UserListEditorPanel",a009,"Menu Here...","Meny här...",""
"UserListEditorPanel",a010,"Item","Artikel",""
"UserListEditorPanel",a011,"Item","Artikel",""
"UserListEditorPanel",a012,"Item","Artikel",""
