Level,Item,Type,ItemDesc,Commodity Code,Supplier,Region,Year,Quarter,Answer,Price,Quantity,ExtendedPrice,Color,Size,Attachments,Requirements,Description
0,1,Section,Introduction,,,,,,,,,,,,,,Description of 1: Introduction
1,1.1,Question,Question #1,,,,,,Four score and seven years ago our RFX designer ...,,,,,,Attachment #1; Attachment #2,,Description of 1.1: Question #1
1,1.2,Question,Question #2,,,,,,"Another non-matrixed, non-supplier question",,,,,,,,Description of 1.2: Question #2
1,1.3,Question,Supplier Non-matrixed,,Apple,,,,Nope,,,,,,,,Description of 1.3: Supplier Non-matrixed
1,1.3,Question,Supplier Non-matrixed,,Dell,,,,Supplier 1 says YES,,,,,,,,Description of 1.3: Supplier Non-matrixed
1,1.3,Question,Supplier Non-matrixed,,Gateway,,,,Heck yeah,,,,,,,,Description of 1.3: Supplier Non-matrixed
1,1.3,Question,Supplier Non-matrixed,,HP,,,,Not Even,,,,,,,,Description of 1.3: Supplier Non-matrixed
1,1.3,Question,Supplier Non-matrixed,,Lenovo,,,,You bet!,,,,,,,,Description of 1.3: Supplier Non-matrixed
1,1.4,Question,Matrixed question,,Apple,APAC,2006,Q1,Super,,,,,,APAC A1; APAC A2,R1,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Apple,EUR,2006,Q1,Superbo,,,,,,EUR A1; EUR A2; EUR A3,R1; R2; R3,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Dell,APAC,2006,Q1,Excellent,,,,,,APAC A1; APAC A2,R1,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Dell,EUR,2006,Q1,Excellente,,,,,,EUR A1; EUR A2; EUR A3,R1; R2; R3,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Gateway,APAC,2006,Q1,Not so hot,,,,,,APAC A1; APAC A2,R1,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,Gateway,EUR,2006,Q1,Not so calliente,,,,,,EUR A1; EUR A2; EUR A3,R1; R2; R3,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,HP,APAC,2006,Q1,Nifty,,,,,,APAC A1; APAC A2,R1,Description of 1.4: Matrixed question
1,1.4,Question,Matrixed question,,HP,EUR,2006,Q1,Nifti,,,,,,EUR A1; EUR A2; EUR A3,R1; R2; R3,Description of 1.4: Matrixed question
