Cp1252
"MetaActionList",a001,"Actions","Actions",""
"MetaActionList",a002,"Actions","Actions",""
"MetaDashboardLayout",a001,"Dashboard","Tableau de bord",""
"MetaNavCommandBar",a001,"Return to Home","Retour à la page d'accueil",""
"MetaNavCommandBar",a004,"Home","Accueil",""
"MetaNavCommandBar",a005,"More...","Plus...",""
"MetaRange",a001,"to","à",""
"MetaRange",a002,"to","à",""
"MetaSearchForm",a001,"Search","Rechercher",""
"MetaSearchForm",a002,"Options","Options",""
"MetaSearchForm",a003,"Keyword Search","Recherche par mot-clé",""
"MetaSearchForm",a004,"Advanced Search","Recherche avancée",""
"MetaSearchForm",a005,"Structured Search","Recherche structurée",""
"WidgetsRules",a001,"General","Général",""
"WidgetsRules",a002,"No item selected","Aucun article sélectionné",""
