Cp1252
"MetaActionList",a001,"Actions","Azioni",""
"MetaActionList",a002,"Actions","Azioni",""
"MetaDashboardLayout",a001,"Dashboard","Quadrante",""
"MetaNavCommandBar",a001,"Return to Home","Torna alla pagina iniziale",""
"MetaNavCommandBar",a004,"Home","Pagina iniziale",""
"MetaNavCommandBar",a005,"More...","Altro...",""
"MetaRange",a001,"to","a",""
"MetaRange",a002,"to","a",""
"MetaSearchForm",a001,"Search","Cerca",""
"MetaSearchForm",a002,"Options","Opzioni",""
"MetaSearchForm",a003,"Keyword Search","Ricerca parola chiave",""
"MetaSearchForm",a004,"Advanced Search","Ricerca avanzata",""
"MetaSearchForm",a005,"Structured Search","Ricerca strutturata",""
"WidgetsRules",a001,"General","Generale",""
"WidgetsRules",a002,"No item selected","Non è stata selezionata alcuna voce",""
