Shift_JIS
"MetaActionList",a001,"Actions","処理",""
"MetaActionList",a002,"Actions","処理",""
"MetaDashboardLayout",a001,"Dashboard","ダッシュボード",""
"MetaNavCommandBar",a001,"Return to Home","ホームに戻る",""
"MetaNavCommandBar",a004,"Home","ホーム",""
"MetaNavCommandBar",a005,"More...","詳細...",""
"MetaRange",a001,"to","-",""
"MetaRange",a002,"to","-",""
"MetaSearchForm",a001,"Search","検索",""
"MetaSearchForm",a002,"Options","オプション",""
"MetaSearchForm",a003,"Keyword Search","キーワード検索",""
"MetaSearchForm",a004,"Advanced Search","高度な検索",""
"MetaSearchForm",a005,"Structured Search","構造検索",""
"WidgetsRules",a001,"General","一般",""
"WidgetsRules",a002,"No item selected","項目は選択されていません",""
