KS_C_5601-1987
"MetaActionList",a001,"Actions","조치",""
"MetaActionList",a002,"Actions","조치",""
"MetaDashboardLayout",a001,"Dashboard","대시보드",""
"MetaNavCommandBar",a001,"Return to Home","홈으로 돌아가기",""
"MetaNavCommandBar",a004,"Home","홈",""
"MetaNavCommandBar",a005,"More...","자세히...",""
"MetaRange",a001,"to","-",""
"MetaRange",a002,"to","-",""
"MetaSearchForm",a001,"Search","검색",""
"MetaSearchForm",a002,"Options","옵션",""
"MetaSearchForm",a003,"Keyword Search","키워드 검색",""
"MetaSearchForm",a004,"Advanced Search","고급 검색",""
"MetaSearchForm",a005,"Structured Search","구조적 검색",""
"WidgetsRules",a001,"General","일반",""
"WidgetsRules",a002,"No item selected","항목을 선택하지 않았습니다.",""
