Cp1252
"MetaActionList",a001,"Actions","Acties",""
"MetaActionList",a002,"Actions","Acties",""
"MetaDashboardLayout",a001,"Dashboard","Dashboard",""
"MetaNavCommandBar",a001,"Return to Home","Terug naar Introductiepagina",""
"MetaNavCommandBar",a004,"Home","Introductiepagina",""
"MetaNavCommandBar",a005,"More...","Meer...",""
"MetaRange",a001,"to","naar",""
"MetaRange",a002,"to","naar",""
"MetaSearchForm",a001,"Search","Zoeken",""
"MetaSearchForm",a002,"Options","Opties",""
"MetaSearchForm",a003,"Keyword Search","Zoeken op trefwoord",""
"MetaSearchForm",a004,"Advanced Search","Geavanceerd zoeken",""
"MetaSearchForm",a005,"Structured Search","Gestructureerd zoeken",""
"WidgetsRules",a001,"General","Algemeen",""
"WidgetsRules",a002,"No item selected","Geen item geselecteerd",""
