Cp1251
"MetaInspectorPane",a001,"Property","Свойство",""
"MetaInspectorPane",a002,"Value","Значение",""
"MetaInspectorPane",a003,"Property Key","Ключ свойства",""
"MetaInspectorPane",a004,"Parent Context","Родительский контекст",""
"MetaInspectorPane",a005,"Edit","Изменить",""
"MetaInspectorPane",a006,"Add Rule","Добавить правило",""
"MetaInspectorPane",a007,"Save","Сохранить",""
"MetaInspectorPane",a008,"Add Property","Добавить свойство",""
"MetaInspectorPane",a009,"Edit Property","Изменить свойство",""
"MetaInspectorPane",a010,"Other...","Другое...",""
"MetaInspectorPane",a011,"Rule Selectors","Выбор правил",""
"MetaNavEditorMenu",a001,"Editing","Редактирование",""
"MetaNavEditorMenu",a002,"Editor","Редактор",""
"MetaNavEditorMenu",a003,"Metadata Editor","Редактор метаданных",""
"MetaNavEditorMenu",a004,"Disable Editing","Запретить редактирование",""
"MetaNavEditorMenu",a005,"Save Changes","Сохранить изменения",""
"MetaNavEditorMenu",a006,"Enable Editing","Разрешить редактирование",""
