Cp1252
"MetaActionList",a001,"Actions","Åtgärder",""
"MetaActionList",a002,"Actions","Åtgärder",""
"MetaDashboardLayout",a001,"Dashboard","Instrumenttavla",""
"MetaNavCommandBar",a001,"Return to Home","Gå tillbaka till Hem",""
"MetaNavCommandBar",a004,"Home","Hem",""
"MetaNavCommandBar",a005,"More...","Mer...",""
"MetaRange",a001,"to","till",""
"MetaRange",a002,"to","till",""
"MetaSearchForm",a001,"Search","Sök",""
"MetaSearchForm",a002,"Options","Alternativ",""
"MetaSearchForm",a003,"Keyword Search","Sökordssökning",""
"MetaSearchForm",a004,"Advanced Search","Avancerad sökning",""
"MetaSearchForm",a005,"Structured Search","Strukturerad sökning",""
"WidgetsRules",a001,"General","Allmänt",""
"WidgetsRules",a002,"No item selected","Ingen post har valts",""
