Cp1252,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "Generelt"
aribaAuditCommitNow, "Generelt"
aribaAudit.admin, "Admin"
aribaAuditCommitNow.admin, "Admin (opgaver/filer)"
aribaAuditCommitNow.apputil, "Admin-værktøjer"
aribaAuditCommitNow.dashboard, "Panel"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "Undtagelse"
aribaAuditCommitNow.parameters, "Parametre"
aribaAuditCommitNow.approvable, "Generelt"
aribaAuditCommitNow.realmPurge, "Rens område"
aribaAuditCommitNow.translations, "Oversættelser"
aribaAuditCommitNow.integration, "Integration"
aribaAuditCommitNow.reportTimeout, "Timeout-grænse for rapport"
aribaAuditCommitNow.analysis, "Analyse"
aribaAuditCommitNow.schemaRealmMapping, "Kortlægning af skemaområde"
aribaAuditCommitNow.cdsSyncVerifier, "Verifikation af CDS-synkronisering"
aribaAuditCommitNow.cdsDataValidator, "Verifikation CDS-datasynkronisering"
aribaAuditCommitNow.search, "Søg"
