8859_1,,
Today,"today","Technical: String representing today (for convenient input)."
Yesterday,"yesterday","Technical: String representing yesterday (for convenient input)."
Tomorrow,"tomorrow","Technical: String representing tomorrow (for convenient input)."
YearRelativeFmt,"d/M","Technical: Must be a valid java.text.DateFormat format."
DefaultFmt,"EEE, d MMM, yyyy","Technical: Must be a valid java.text.DateFormat format."
LongDefaultFmt,"EEE, d MMM, yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt,"'Today' HH:mm","Technical: Must be a valid java.text.DateFormat format."
TodayFmt,"'Today'","Technical: Must be a valid java.text.DateFormat format."
ConciseDateTimeFmt,"d/M/yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format."
PaddedConciseDateTimeFmt,"dd/MM/yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format."
PaddedDateTimeFmt,"dd/MM/yyyy HH:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"dd/MM/yyyy HH:mm:ss:SSS","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"d/M/yyyy","Technical: Must be a valid java.text.DateFormat format."
PaddedConciseFmt,"dd/MM/yyyy","Technical: Must be a valid java.text.DateFormat format."
ExtraConciseFmt,"dd/MM/yy","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt,"d-MMM-yyyy","Technical: Must be a valid java.text.DateFormat format."
DateMonthYearFmt,"d-MMM-yyyy","Technical: Must be a valid java.text.DateFormat format."
FullDateMonthYearFmt,"d-MMM-yyyy 'at' HH:mm","Technical: Must be a valid java.text.DateFormat format."
FullDateMonthYearTZFmt,"d-MMMM-yyyy 'at' HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt,"d-MMM-yyyy","Technical: Must be a valid java.text.DateFormat format."
LongDayDateMonthYearTZFmt,"d-MMM-yyyy zzz","Technical: Must be a valid java.text.DateFormat format."
FullDayDateMonthYearFmt,"d-MMM-yyyy 'at' HH:mm","Technical: Must be a valid java.text.DateFormat format."
FullDayDateMonthYearTZFmt,"EEEE, d-MMMM-yyyy 'at' HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt,"HH:mm:ss","Technical: Must be a valid java.text.DateFormat format."
DayOfWeekFmt,"EEE","Technical: Must be a valid java.text.DateFormat format."
FormatsSeparator,";","separator character for date format pattern lists"
SystemFormats,"d-MMM-yy;d/M/yy;d/M/yyyy","list of date formats to try when parsing any date string"
UserFormats,"dd/MM/yy;dd/MM/yyyy;yyyy-M-dd;EEE d MMM yyyy;EEE d MMM yy;d MMM yyyy;d MMM yy;EEE, d MMM, yyyy","Technical: list of date formats to try when parsing user date strings"
ReportingDateFmt,"d MMM yyyy","Date format for reporting."
HourMinuteSecond,"HH:mm:ss", "Technical: Must be a valid java.text.DateFormat format."
HourMinuteAMPM,"HH:mm", "e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format."
DayOfWeekStart,"0","Sunday:0 Monday:1 e.g., French calendar starts on Monday"
CalendarHeaderFmt,"MMM yyyy", "Header of calender shown in Date Chooser."
