8859_1,,
Today,"today","Technical: String representing today (for convenient input).; "
Yesterday,"yesterday","Technical: String representing yesterday (for convenient input).; "
Tomorrow,"tomorrow","Technical: String representing tomorrow (for convenient input).; "
YearRelativeFmt,"M/d","Technical: Must be a valid java.text.DateFormat format.; "
DefaultFmt,"EEE, d MMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDefaultFmt,"EEE, d MMM, yyyy h:mm a","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt,"'Today', h:mm a","Technical: Must be a valid java.text.DateFormat format.; "
TodayFmt,"'Today'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseDateTimeFmt,"M/d/yyyy h:mm a","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseDateTimeFmt,"MM/dd/yyyy hh:mm a","Technical: Must be a valid java.text.DateFormat format.; "
PaddedDateTimeFmt,"MM/dd/yyyy hh:mm:ss a","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"MM/dd/yyyy hh:mm:ss:SSS a","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"M/d/yyyy","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseFmt,"MM/dd/yyyy","Technical: Must be a valid java.text.DateFormat format.; "
ExtraConciseFmt,"MM/dd/yy","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt,"EEE, dd MMM, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
DateMonthYearFmt,"MMMM d, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearFmt,"MMMM d, yyyy 'at' h:mm a","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearTZFmt,"MMMM d, yyyy 'at' h:mm a, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt,"EEEE, MMMM d, yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearTZFmt,"EEEE, MMMM d, yyyy zzz","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearFmt,"EEEE, MMMM d, yyyy 'at' h:mm a","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearTZFmt,"EEEE, MMMM d, yyyy 'at' h:mm a, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearShortTZFmt,"EEEE, MMMM d, yyyy 'at' h:mm a, zzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt,"h:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekFmt,"EEE","Technical: Must be a valid java.text.DateFormat format.; "
FormatsSeparator,";","separator character for date format pattern lists; "
SystemFormats,"MMM-d-yyyy;MMM-d-yy;yyyyMMdd;yyyy-MM-dd HH:mm:ss;yyyy-MM-dd;M/d/yy;M/d/yyyy;M-d-yy;M-d-yyyy;EEE MMM d H:m:s yyyy;MM/dd/yyyy;EEE MMM d H:m:s z yyyy","list of date formats to try when parsing any date string; "
UserFormats,"EEE, d MMM, yyyy;EEE, d MMM, yy;M/d/yyyy;M/d/yy","list of date formats to try when parsing user date strings; "
ReportingDateFmt,"d MMM yyyy","Date format for reporting."
HourMinuteSecond,"hh:mm:ss", "Technical: Must be a valid java.text.DateFormat format."
HourMinuteAMPM,"h:mm a", "e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format."
DayOfWeekStart,"0","Sunday:0 Monday:1 e.g., French calendar starts on Monday"
CalendarHeaderFmt,"MMM yyyy", "Header of calender shown in Date Chooser."
