Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Seguimiento de acciones y condiciones"
adapter, "Adaptadores externos"
adaptersql, "Extractos del adaptador externo SQL"
admin, "Mensajes relacionados con el administrador de Ariba Buyer"
adminLow, "Mensajes de bajo nivel relacionados con el administrador de Ariba Buyer"
adminui, "Mensajes relacionados con la gestión de catálogos"
all, "Todas las categorías de mensajes"
allocIds, "Asignaciones del servidor de ID"
analysisMaster, "Analysis Master"
analysisMaster.analysis, "Otros análisis"
analysisMaster.analysisAdmin, "Mensajes relacionados con el administrador de Ariba Analysis"
analysisMaster.analysisDataLoad, "Carga de datos de Analysis"
analysisMaster.analysisLoadDetails, "Registro detallado de carga de datos de Analysis"
analysisMaster.analysisQuery, "Operaciones de consulta de análisis"
analysisMaster.analysisMDCache, "Caché de Analysis"
analysisMaster.analysisRecentUserChoice, "Seguimiento de información de selección del usuario reciente"
analysisMaster.analysisOlap, "OLAP (procesamiento analítico en línea) de Analysis"
analysisMaster.analysisBackground, "Informes en segundo plano de Analysis"
analysisMaster.loadfile, "Archivos de carga de Analysis"
analysisMigration,"Migración de Analysis"
appInfoExtension, "Mensajes relacionados con extensiones appInfo, relevantes solo en servicios compartidos"
appIntegrate, "utilidades de integración de aplicaciones"
application, "Información relacionada con la aplicación"
application.chargeLoading, "Información de carga del cargo cXML"
application.charge, "Información relacionada con el cargo"
application.customApprover, "Mensajes relacionados con el código del cliente escrito para realizar solicitudes de aprobación externas especiales"
application.cxml.aribaNetworkException, "Errores generales de Ariba Network"
application.cxml.cxmlOcAsn, "Seguimiento de la lógica común de la confirmación del pedido y del proceso de aviso de expedición avanzado"
application.cxml.punchout, "Información de PunchOut cXML"
application.grid, "Mensajes relacionados con las actividades de cuadrículas y celdas en las condiciones de determinación de precios de los contratos"
application.orgPartition, "Mensajes relacionados con la partición de la organización"
application.paymentTerms, "Seguimiento de información de condiciones de pago"
application.pricing, "Seguimiento de condiciones de determinación de precios"
application.procurement, "Seguimiento de la información de compras"
application.procurement.advancedShipNotice, "Seguimiento del proceso avanzado de avisos de expedición"
application.procurement.categoryProcurement, "Funcionalidad relacionada con el seguimiento de las compras por categorías"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Seguimiento de la visibilidad y editabilidad de las propiedades de la definición de categorías"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Seguimiento del cumplimiento de los valores de las propiedades de la definición de categorías"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Seguimiento de la actualización de los valores de las propiedades de la definición de categorías"
application.procurement.aggregation, "Seguimiento relacionado con agregación"
application.procurement.budget, "Seguimiento relacionado con presupuesto"
application.procurement.content, "Seguimiento relacionado con contenidos"
application.procurement.contract, "Seguimiento relacionado con contratos"
application.procurement.contract.contractPricing, "Seguimiento de la información de determinación de precios de contrato"
application.procurement.contract.sla, "Seguimiento de la información de acuerdo de nivel de servicio de contrato"
application.procurement.electronicOrder, "Procesamiento de pedido electrónico"
application.procurement.excelImport, "Información de importación de Excel"
application.procurement.accrual, "Procesamiento de acumuladores de gravamen y devengo"
application.procurement.accrualMigrate, "Devengo relacionado con tarea de migración"
application.procurement.itemMaster, "Funcionalidad de artículo maestro"
application.procurement.orderConfirmation, "Seguimiento del proceso de confirmación de pedidos"
application.procurement.ordering, "Seguimiento del progreso de los pedidos de formateado y transmisión"
application.procurement.payment, "Seguimiento de las actividades de pago de facturas"
application.procurement.receiving, "Seguimiento de la información de recepción"
application.procurement.receiving.detail, "Seguimiento de la información de recepción más detallada"
application.procurement.requisitioning, "Seguimiento de la información de la solicitud de compra"
application.procurement.service, "Seguimiento de la funcionalidad relacionada con el servicio"
application.procurement.service.servicePropertyAccess, "Seguimiento de la visibilidad y editabilidad de las propiedades de servicio"
application.procurement.service.servicePropertyCompliance, "Seguimiento de la conformidad de valores de propiedad de servicio"
application.procurement.service.servicePropertyUpdate, "Seguimiento de la actualización de valores de propiedad de servicio"
application.procurement.sourcing, "Seguimiento de información de sourcing"
application.procurement.subscriptionTracker, "Seguimiento relacionado con SubscriptionTracker"
application.procurement.repair, "Seguimiento de información relacionado con la limpieza o arreglo de los datos"
application.reconciliation, "Seguimiento de excepciones de generación y reconciliación de facturas"
application.reconciliation.invoicing, "Seguimiento de información de facturas"
application.reconciliation.invoicing.invoiceLoading, "Seguimiento de la información de carga de facturas"
invoiceDiagnostics, "Seguimiento de depuración de información de facturas"
application.reconciliation.irEditability, "Seguimiento de la editabilidad y validación de documentos de reconciliación de facturas"
application.reconciliation.pcard, "Seguimiento de procesamiento de tarjeta de compra y carga de cargos"
application.report, "Seguimiento de la información de creación de informes"
application.search, "Seguimiento de la información de búsqueda"
application.supplierSync, "Información relacionada con la sincronización del proveedor"
application.tax, "Seguimiento del cálculo y operación de impuestos"
approvable, "Acciones en los documentos aprobables"
approvalFlow, "Seguimiento de la información de flujo de aprobación"
aql, "Seguimiento de información de AQL"
aql.query, "Operaciones de consulta"
aql2capi, "Asignación de AQL a CAPI"
aqlperf, "Información de rendimiento de AQL"
aribaISServer, "Mensajes enviados al servidor de Ariba"
aribaMappingException, "Errores relacionados con la asignación de PunchOut y catálogos"
aribaNetwork, "Comunicación de Ariba Network (alto nivel)"
aribaNetworkLow, "Comunicación de Ariba Network (bajo nivel)"
aribaweb, "Red de Ariba y sesión HTTP relacionada"
aribaweb.fileupload, "información de carga de archivo de bajo nivel"
aribaweb.formValue, "información de cola de valor de forma"
aribaweb.ihr, "información de aribaweb hr"
aribaweb.session, "información de sesión de aribaweb"
aribawebdomsync, "información de procesamiento general de aribaweb dom"
aribawebdomsync.element, "información de procesamiento de elemento de aribaweb dom"
aribaweb_request, "Registra información básica de solicitud (solicitud URI, parámetros de consulta, valores de forma, cookies)"
aribaweb_html, "Seguimiento de salida de origen de HTML"
aribaweb_errorManager, "Seguimiento del gestor de errores"
asmMaster,"Datos maestros ASM"
asmMaster.punchout,"ASM PunchOut"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "Detalles de cargador de ASM"
asmMaster.discovery, "Seguimiento de Ariba Discovery"
audit, "Actividad del usuario administrador de auditoría que cambia el sistema"
auth, "Peticiones de autenticación"
autoCalc, "Seguimiento de cálculos automáticos para campos de Fuerza laboral"
awf, "Generación de HTML y trabajo interno del marco de trabajo de la red de Ariba"
axDecodingInfo, "Información general de descodificación XML"
axDecodingProtocolTrace, "Seguimiento de protocolo AXDecoding de descodificación XML"
axDecodingTrace, "Seguimiento de descodificación XML"
back, "Mensajes para el seguimiento de páginas anteriores"
backplane.pq, "Mensajes relacionados con una cola persistente"
backplane.memcached, "Mensaje RPC de cliente sobre cola persistente"
bagdump, "Vuelca los artículos de catálogo transformados durante la importación"
bagmetrics, "Medidas de depuración para gestión de bolsas de catálogo (catalogitem)"
base, "Registro general para el componente base"
bindings, "Mensajes para el seguimiento de enlaces de página HTML"
checkpoint, "Mensajes de registro para varios puntos de comprobación utilizados para la sincronización entre varios nodos"
checkpoint.amf.base, "Mensajes de registro para varios puntos de comprobación para el componente de mensajería"
checkpoint.base, "Mensajes de registro para varios puntos de comprobación para el componente básico"
cXML, "Mensajes del canal cXML"
cXML.channel, "Mensajes del canal cXML"
cXML.configuration, "Mensajes de configuración del canal cXML"
cXML.detail, "Mensajes de detalle XML del canal cXML"
cXML.document, "Mensajes de tráfico XML del canal CXML"
cXML.document.failed, "El canal CXML ha fallado para los mensajes de tráfico XML"
cXML.encoding, "Mensajes de codificación del canal cXML"
cXML.encodingParse, "Mensajes de estado de codificación del canal cXML"
cXML.transport, "Mensajes relacionados con el transporte de red del canal cXML"
cXML.soap, "Mensajes transporte SOAP del canal cXML"
cXML.reliableDeliveryService, "Mensajes específicos del servicio de entrega fiable del canal cXML"
cache, "Otros mensajes desde la memoria caché del objeto"
catalogpublish, "información publicada de catálogo"
catalog, "Información general del catálogo"
catalog.type, "Seguimiento de administración de tipo de catálogo"
catalogdeprecated, "Categoría maestra para categorías de registro de catálogo rechazadas"
catalogdeprecated.catalogCache, "Desaprobación - Acciones de la memoria caché del catálogo"
catalogdeprecated.catalogSearch, "Desaprobación - Información de búsqueda de catálogo de alto nivel"
catalogdistributedquery, "Seguimiento de consulta distribuida por catálogo"
cataloglow, "Seguimiento de catálogo de bajo nivel"
catalogmetrics, "Registro de búsquedas en catálogo y medidas orientadas a la carga"
catimages, "Registro de imágenes de catálogo"
catalogExtract, "Registro de progreso de extracción de catálogo"
catremote, "Seguimiento de comunicación nodo a nodo de catálogo"
ccm, "Gestor de conexión central (para las conexiones a la base de datos)"
cgi, "Mensajes de depuración de inicio de sesión de CGI"
channelIO, "Mensajes de utilidad de E/S"
channelTibcoMaster, "Todos los mensajes del canal Tibco"
channelui, "Todos los mensajes relacionados con UI de admin"
channelutil, "Mensajes de utilidad del canal cXML"
choosers, "Todos los mensajes relacionados del controlador de campo y selectores"
clientQuery, "Seguimiento de consultas del cliente"
clusterGets, "Mostrar recuperaciones de clúster"
clusterLocks, "Mostrar bloqueos/desbloqueos de clúster"
collaboration, "Seguimiento relacionado con la colaboración"
collaborationWF, "Seguimiento relacionado con el flujo de trabajo de la colaboración"
commandline, "Registro de la información de la aplicación en la línea de comandos"
comments, "Seguimiento de la información del artículo de comentarios"
commonObjectOperations, "Cualquier operación común relacionada con datos"
configure, "Registrar lo que está haciendo la herramienta de configuración (configuración y generación de código)"
connect, "Conexiones y desconexiones del cliente"
constraints, "Mensajes pertenecientes a las limitaciones"
controllers, "Mensajes pertenecientes a los controladores de campo"
currency, "Información relacionada con la divisa y el dinero"
customer, "Mensajes que pertenecen al código del cliente"
customization,"Mensajes que pertenecen a las personalizaciones"
customization.ui, "Mensajes que pertenecen a la IU de personalización"
customization.user, "Mensajes que pertenecen a la personalización que está relacionada con el usuario"
cxml, "Seguimiento de PunchOut CXML"
cxmlbase, "Mensajes de integración de Buyer del canal cXML"
cxmlbase.lifecycle, "Mensajes de ciclo vital de objeto del canal cXML"
cxmlbase.transaction, "Mensajes de transacción de integración de Buyer del canal cXML"
cxmlinterop, "Categoría general de registro para paquete de interoperabilidad cxml."
cxmlinteropcommandline, "Categoría de registro rechazada o no utilizada"
cxmlinteropdump, "Categoría de depuración detallada que muestra el mensaje procesado"
cxmlinterophistory, "Categoría de registro rechazada o no utilizada"
cxmlinteroplow, "Categoría de registro rechazada o no utilizada"
dashboard, "Mensajes del panel de instrucciones"
data.repairer, "Inicio de sesión relacionado con la tarea de reparación de datos"
dbtop, "Operaciones de base de datos de alto nivel"
demoshell, "Seguimiento en formato demostración"
directAction, "Seguimiento de acciones directas"
duplicate, "Duplicación de objetos"
duplicateaml, "Duplicar propiedades de AML"
editability, "Seguimiento de la editabilidad de los campos"
email, "Seguimiento de intercambios de correo electrónico"
encryptedString, "Seguimiento de operaciones de cadena cifrada y continuación de recifrado de datos utilizando un algoritmo de cifrado distinto"
enumeration, "Mensajes relacionados con la enumeración"
environment, "Mensajes sobre la configuración del sistema"
event, "Eventos del flujo de trabajo"
eventQueue, "Seguimiento de la cola de eventos"
expense, "Informe de gastos"
expenseAdmin, "Directrices de IU de administración de gastos"
expense.tbp, "Proveedor de reservas de viajes"
expense.imaging, "Imagen de recibo de gastos"
expenseExport, "Exportación de datos para Ariba mForm"
expenseMobile, "Mensajes pertenecientes al cliente móvil en el servidor de Ariba Buyer"
expensePolicyAudit, "Pista de auditoría para la directriz de gastos y la actualización de los parámetros de la directriz de auditoría de gastos"
exprTrace, "Seguimiento de la evaluación de todas las expresiones (incluyendo las expresiones personalizadas)"
extracosts, "Costes adicionales"
fetch, "Peticiones de objetos por parte del cliente al servidor"
fieldProperties, "Mensajes pertenecientes al procesamiento de propiedades de campo"
fields, "Mensajes pertenecientes al procesamiento de los formateadores de campo"
fileAccess,"Mensajes relacionados con el acceso a archivos"
fileChannelIO, "Mensajes relacionados con la E/S del canal de mensajes"
folder, "Eventos de carga de carpetas"
form,"Seguimiento general para mensajes relacionados con formularios de documento y formularios electrónicos"
form.eform, "Seguimiento para mensajes relacionados formularios electrónicos"
