Cp1250,,
Today,"ma","Technical: String representing today (for convenient input).; "
Yesterday,"tegnap","Technical: String representing yesterday (for convenient input).; "
Tomorrow,"holnap","Technical: String representing tomorrow (for convenient input).; "
YearRelativeFmt,"M. d.","Technical: Must be a valid java.text.DateFormat format.; "
DefaultFmt,"yyyy. MMM d., EEE","Technical: Must be a valid java.text.DateFormat format.; "
LongDefaultFmt,"yyyy. MMM d., EEE H:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt,"'Ma', H:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayFmt,"'Ma'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseDateTimeFmt,"yyyy. M. d. H:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseDateTimeFmt,"yyyy. MM. dd. H:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedDateTimeFmt,"yyyy. MM. dd. H:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"yyyy. MM. dd. H:mm:ss:SSS","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"yyyy. M. d.","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseFmt,"yyyy. MM. dd.","Technical: Must be a valid java.text.DateFormat format.; "
ExtraConciseFmt,"yy. MM. dd.","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt,"yyyy. MMM dd., EEE","Technical: Must be a valid java.text.DateFormat format.; "
DateMonthYearFmt,"yyyy. MMMM d.","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearFmt,"yyyy. MMMM d., 'idõ:' H:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearTZFmt,"yyyy. MMMM d., 'idõ:' H:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt,"yyyy. MMMM d., EEEE","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearTZFmt,"yyyy. MMMM d., EEEE, zzz","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearFmt,"yyyy. MMMM d., EEEE, 'idõ:' H:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearTZFmt,"yyyy. MMMM d., EEEE, 'idõ:' H:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt,"H:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekFmt,"EEE","Technical: Must be a valid java.text.DateFormat format.; "
FormatsSeparator,";","separator character for date format pattern lists; "
SystemFormats,"yyyy-MMM-d;yy-MMM-d;yyyyMMdd;yyyy. MM. dd.;yyyy.MM.dd.;yyyy-MM-dd H:mm:ss;yyyy-MM-dd.;yy/M/d;yyyy/M/d;yyyy. MMM d. EEE H:m:s;yyyy/MM/dd;yyyy. MMM d. EEE H:m:s z","list of date formats to try when parsing any date string; "
UserFormats,"yyyy. MMM d. EEE;yy. MMM d. EEE;yyyy.MM.dd.;yyyy. MM. dd.;yyyy/M/d;yy/M/d","list of date formats to try when parsing user date strings; "
ReportingDateFmt,"yyyy. MMM d.","Date format for reporting."
HourMinuteSecond,"H:mm:ss", "Technical: Must be a valid java.text.DateFormat format."
HourMinuteAMPM,"H:mm", "e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format."
DayOfWeekStart,"1","Sunday:0 Monday:1 e.g., French calendar starts on Monday"
CalendarHeaderFmt,"yyyy. MMM", "Header of calender shown in Date Chooser."
