Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Rilevamento azioni e condizioni in corso"
adapter, "Adattatori esterni"
adaptersql, "Istruzioni SQL adattatore esterno"
admin, "Messaggi relativi ad Ariba Buyer Administrator"
adminLow, "Messaggi di livello basso relativi ad Ariba Buyer Administrator"
adminui, "Messaggi relativi all'amministrazione del catalogo"
all, "Tutte le categorie di messaggi"
allocIds, "Allocazioni server degli ID"
analysisMaster, "Master Analysis"
analysisMaster.analysis, "Varie Analysis"
analysisMaster.analysisAdmin, "Messaggi relativi ad Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Caricamento dati Analysis"
analysisMaster.analysisLoadDetails, "Registro dettagliato caricamento dati di analisi"
analysisMaster.analysisQuery, "Operazioni di query di Analysis"
analysisMaster.analysisMDCache, "Cache analisi"
analysisMaster.analysisRecentUserChoice, "Rilevamento delle informazioni sulle scelte degli utenti recenti"
analysisMaster.analysisOlap, "OLAP analisi"
analysisMaster.analysisBackground, "Rapporti background analisi"
analysisMaster.loadfile, "File caricamento analisi"
analysisMigration,"Migrazione analisi"
appInfoExtension, "Messaggi relativi alle estensioni appInfo, pertinenti solo per i servizi condivisi"
appIntegrate, "utilità di integrazione tra applicazioni"
application, "Informazioni relative all'applicazione"
application.chargeLoading, "Informazioni su caricamento spese cXML"
application.charge, "Informazioni correlate alle spese"
application.customApprover, "Messaggi relativi al codice cliente scritto per eseguire speciali approvazioni esterne"
application.cxml.aribaNetworkException, "Errori generali di Ariba Network"
application.cxml.cxmlOcAsn, "Rilevamento logica comune della conferma dell'ordine e processo di notifica spedizione avanzata"
application.cxml.punchout, "Informazioni su PunchOut cXML"
application.grid, "Messaggi relativi alle attività inerenti alle griglie e alle celle per la determinazione dei prezzi nei contratti"
application.orgPartition, "Messaggi relativi al partizionamento dell'organizzazione"
application.paymentTerms, "Rilevamento informazioni termini pagamento"
application.pricing, "Rilevamento delle condizioni del prezzo"
application.procurement, "Rilevamento delle informazioni sull'approvvigionamento"
application.procurement.advancedShipNotice, "Rilevamento avanzamento notifica spedizione avanzata"
application.procurement.categoryProcurement, "Funzionalità correlata all'analisi dell'approvvigionamento delle categorie"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Analisi della visibilità e della possibilità di modifica delle proprietà di definizione delle categorie"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Analisi della compatibilità dei valori delle proprietà di definizione delle categorie"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Analisi dell'aggiornamento dei valori delle proprietà di definizione delle categorie."
application.procurement.aggregation, "Rilevamento relativo all'aggregazione"
application.procurement.budget, "Rilevamento relativo al budget"
application.procurement.content, "Rilevamento relativo al contenuto"
application.procurement.contract, "Rilevamento relativo al contratto"
application.procurement.contract.contractPricing, "Rilevamento delle informazioni sui prezzi del contratto"
application.procurement.contract.sla, "Rilevamento delle informazioni sul contratto di servizio"
application.procurement.electronicOrder, "Elaborazione ordine elettronico"
application.procurement.excelImport, "Informazioni importazione Excel"
application.procurement.accrual, "Elaborazione totalizzatori spesa anticipata e accumulo"
application.procurement.accrualMigrate, "Attività di migrazione relativa agli accumuli"
application.procurement.itemMaster, "Funzionalità anagrafica articoli"
application.procurement.orderConfirmation, "Rilevamento processo di conferma ordine"
application.procurement.ordering, "Rilevamento avanzamento formattazione e trasmissione ordini"
application.procurement.payment, "Rilevamento attività di pagamento fatture"
application.procurement.receiving, "Rilevamento delle informazioni di ricezione"
application.procurement.receiving.detail, "Rilevamento informazioni di ricezione più dettagliate"
application.procurement.requisitioning, "Rilevamento delle informazioni sulla richiesta di acquisto"
application.procurement.service, "Rilevamento della funzionalità relativa ai servizi"
application.procurement.service.servicePropertyAccess, "Rilevamento della visibilità e modificabilità delle proprietà dei servizi"
application.procurement.service.servicePropertyCompliance, "Rilevamento della compatibilità dei valori delle proprietà dei servizi"
application.procurement.service.servicePropertyUpdate, "Rilevamento dell'aggiornamento dei valori delle proprietà dei servizi"
application.procurement.sourcing, "Rilevamento delle informazioni di sourcing"
application.procurement.subscriptionTracker, "Rilevamento relativo a SubscriptionTracker"
application.procurement.repair, "Rilevamento delle informazioni correlate alla pulizia o correzione dei dati"
application.reconciliation, "Rilevamento generazione fattura ed eccezioni di riconciliazione"
application.reconciliation.invoicing, "Rilevamento informazioni di fatturazione"
application.reconciliation.invoicing.invoiceLoading, "Rilevamento informazioni sul caricamento fattura"
invoiceDiagnostics, "Rilevamento informazioni di debug di fatturazione"
application.reconciliation.irEditability, "Rilevamento possibilità di modifica e convalida dei documenti di riconciliazione fattura"
application.reconciliation.pcard, "Rilevamento elaborazione carta d'acquisto e caricamento spese"
application.report, "Rilevamento delle informazioni sui rapporti"
application.search, "Rilevamento delle informazioni sulla ricerca"
application.supplierSync, "Informazioni relative alla sincronizzazione fornitori"
application.tax, "Rilevamento dei calcoli e delle operazioni fiscali"
approvable, "Azioni sui documenti da approvare"
approvalFlow, "Rilevamento di informazioni sul flusso di approvazione"
aql, "Rilevamento delle informazioni AQL in corso"
aql.query, "Operazioni di query"
aql2capi, "Mapping di AQL su CAPI"
aqlperf, "Informazioni sulle prestazioni AQL"
aribaISServer, "Messaggi inviati al server di Ariba"
aribaMappingException, "Errori relativi al mapping del catalogo e Punchout"
aribaNetwork, "Comunicazioni di Ariba Network (alto livello)"
aribaNetworkLow, "Comunicazioni di Ariba Network (basso livello)"
aribaweb, "Relativo alla sessione web e http di Ariba"
aribaweb.fileupload, "Informazioni sul caricamento file di livello basso"
aribaweb.formValue, "informazioni coda valori modulo"
aribaweb.ihr, "informazioni aribaweb hr"
aribaweb.session, "informazioni sessione aribaweb"
aribawebdomsync, "informazioni generali elaborazione aribaweb dom"
aribawebdomsync.element, "informazioni elaborazione elementi aribaweb dom"
aribaweb_request, "Registra informazioni richiesta di base (URI richiesta, parametri query, valori modulo, cookie)"
aribaweb_html, "Rilevamento dell'output origine HTML"
aribaweb_errorManager, "Responsabile rilevamento errori"
asmMaster,"Anagrafica ASM"
asmMaster.punchout,"PunchOut ASM"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "Dettagli caricatore ASM"
asmMaster.discovery, "Traccia Ariba Discovery"
audit, "Controlla le attività degli amministratori che comportano una modifica del sistema"
auth, "Richieste di autenticazione"
autoCalc, "Rilevamento calcoli automatici per i campi di Ariba Workforce"
awf, "Creazione HTML e funzionamento interno della struttura Web Ariba"
axDecodingInfo, "Informazioni generali sulla decodifica XML"
axDecodingProtocolTrace, "Rilevamento protocollo AXDecoding per la decodifica XML"
axDecodingTrace, "Rilevamento decodifica XML"
back, "Messaggi per il tracking della pagina precedente"
backplane.pq, "Messaggi relativi alla coda permanente"
backplane.memcached, "Messaggi RPC del client della coda permanente"
bagdump, "Scarica gli articoli di catalogo trasformati durante l'importazione"
bagmetrics, "Debug informazioni sul sistema per la gestione della struttura del catalogo (catalogitem)"
base, "Registrazione generale del componente base"
bindings, "Messaggi per il rilevamento dei vincoli delle pagine HTML"
checkpoint, "Messaggi di registro per diversi check point utilizzati per la sincronizzazione tra diversi nodi"
checkpoint.amf.base, "Messaggi di registro per i check point per il componente di messaggistica"
checkpoint.base, "Messaggi di registro per i check point per il componente di base"
cXML, "Messaggi canale cXML"
cXML.channel, "Messaggi canale cXML"
cXML.configuration, "Messaggi di configurazione canale cXML"
cXML.detail, "Messaggi dettagli XML canale cXML"
cXML.document, "Messaggi di traffico XML canale cXML"
cXML.document.failed, "Messaggi di traffico XML non riusciti canale cXML"
cXML.encoding, "Messaggi di codifica canale cXML"
cXML.encodingParse, "Messaggi di stato codifica canale cXML"
cXML.transport, "Messaggi relativi al trasporto di rete del canale cXML"
cXML.soap, "Messaggi relativi al trasporto del canale SOAP"
cXML.reliableDeliveryService, "Messaggi specifici del servizio di consegna affidabile del canale cXML"
cache, "Messaggi vari dalla cache dell'oggetto"
catalogpublish, "informazioni sulla pubblicazione del catalogo"
catalog, "Informazioni generali sul catalogo"
catalog.type, "Rilevamento gestione tipo di catalogo"
catalogdeprecated, "Categoria principale per le categorie del registro del catalogo obsoleto"
catalogdeprecated.catalogCache, "Obsoleto - Azioni cache catalogo"
catalogdeprecated.catalogSearch, "Obsoleto - Informazioni sulla ricerca nel catalogo di alto livello"
catalogdistributedquery, "Rilevamento di query distribuita su catalogo"
cataloglow, "Rilevamento catalogo di basso livello"
catalogmetrics, "Registra le ricerche nel catalogo e carica la metrica orientata"
catimages, "Registra immagini di catalogo"
catalogExtract, "Registra lo stato di avanzamento dell'estrazione del catalogo"
catremote, "Rilevamento comunicazione da nodo a nodo catalogo"
ccm, "Gestione connessione centrale (per le connessioni al database)"
cgi, "Messaggi di debug del login CGI"
channelIO, "Messaggi utilità canale IO"
channelTibcoMaster, "Tutti i messaggi del canale Tibco"
channelui, "Tutti i messaggi relativi all'interfaccia utente di amministrazione"
channelutil, "Messaggi utilità canale cXML"
choosers, "Tutti i messaggi delle funzioni di scelta delle risorse e del relativo controller del campo"
clientQuery, "Rilevamento query del client"
clusterGets, "Mostra recuperi cluster"
clusterLocks, "Mostra blocchi/sblocchi cluster"
collaboration, "Rilevamento correlato alla collaborazione"
collaborationWF, "Rilevamento correlato al flusso di lavoro della correlazione"
commandline, "Registrazione del feedback dell'applicazione della riga di comando"
comments, "Rilevamento informazioni relative alle voci dei commenti"
commonObjectOperations, "Qualsiasi operazione comune relativa ai dati"
configure, "Registra l'attività dello strumento di configurazione (configurazione e generazione codice)"
connect, "Connessioni e disconnessioni client"
constraints, "Messaggi relativi ai vincoli"
controllers, "Messaggi relativi ai controller di campo"
currency, "Informazioni relative alla valuta e ai valori monetari"
customer, "Messaggi relativi al codice cliente"
customization,"Messaggi relativi alle personalizzazioni"
customization.ui, "Messaggi relativi all'interfaccia utente personalizzata"
customization.user, "Messaggi relativi alle personalizzazioni dell'utente"
cxml, "Rilevamento del PunchOut CXML"
cxmlbase, "Messaggi di integrazione ad Ariba Buyer del canale cXML"
cxmlbase.lifecycle, "Messaggi ciclo di vita oggetto canale cXML"
cxmlbase.transaction, "Messaggi di transazione dell'integrazione ad Ariba Buyer del canale cXML"
cxmlinterop, "Categoria di registrazione generale per il pacchetto di interoperabilità cxml."
cxmlinteropcommandline, "Categoria di registrazione sostituita/non utilizzata"
cxmlinteropdump, "Categoria di debugging dettagliata che esegue il dump dei messaggi elaborati"
cxmlinterophistory, "Categoria di registrazione sostituita/non utilizzata"
cxmlinteroplow, "Categoria di registrazione sostituita/non utilizzata"
dashboard, "Messaggi quadrante"
data.repairer, "Registrazione relativa all'attività di riparazione dei dati"
dbtop, "Operazioni database di alto livello"
demoshell, "Rilevamento in shell demo"
directAction, "Rilevamento azioni dirette"
duplicate, "Duplicazione oggetto"
duplicateaml, "Proprietà AML duplicate"
editability, "Rilevamento dei campi modificabili"
email, "Rilevamento dello scambio di messaggi di posta elettronica"
encryptedString, "Rilevamento di operazioni per cifratura di stringhe e nuova cifratura di dati tramite un altro algoritmo di cifratura"
enumeration, "Messaggi relativi alle enumerazioni"
environment, "Messaggi sulle impostazioni di sistema"
event, "Eventi del flusso di lavoro"
eventQueue, "Rilevamento della coda degli eventi"
expense, "Nota spese"
expenseAdmin, "Amministrazione relativa all'interfaccia utente delle regole sulle spese"
expense.tbp, "Provider di prenotazione viaggi"
expense.imaging, "Creazione immagine ricevuta spese"
expenseExport, "Esportazione dati per Ariba mForm"
expenseMobile, "Messaggi relativi al client mobile nel server di Ariba Buyer"
expensePolicyAudit, "Aggiornamento elenco di controllo per norme sulle spese e parametri norme controllo spese"
exprTrace, "Rilevamento della valutazione di tutte le espressioni (comprese quelle personalizzate)"
extracosts, "Costi aggiuntivi"
fetch, "Richieste di oggetti da parte del client al server"
fieldProperties, "Messaggi relativi all'elaborazione delle proprietà dei campi"
fields, "Messaggi relativi all'elaborazione dei sistemi di formattazione dei campi"
fileAccess,"Messaggi relativi all'accesso ai file"
fileChannelIO, "Messaggi relativi all'I/O del canale dei file"
folder, "Eventi di caricamento della cartella"
