Cp1252,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "Algemeen"
aribaAuditCommitNow, "Algemeen"
aribaAudit.admin, "Beheer"
aribaAuditCommitNow.admin, "Beheer (taken/bestanden)"
aribaAuditCommitNow.apputil, "Beheer appl.instrument"
aribaAuditCommitNow.dashboard, "Dashboard"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "Uitzondering"
aribaAuditCommitNow.parameters, "Parameters"
aribaAuditCommitNow.approvable, "Algemeen"
aribaAuditCommitNow.realmPurge, "Gebied opschonen"
aribaAuditCommitNow.translations, "Vertalingen"
aribaAuditCommitNow.integration, "Integratie"
aribaAuditCommitNow.reportTimeout, "Timeout melden"
aribaAuditCommitNow.analysis, "Analyse"
aribaAuditCommitNow.schemaRealmMapping, "Schema gebiedstoewijzing"
aribaAuditCommitNow.cdsSyncVerifier, "CDS Sync Verifier"
aribaAuditCommitNow.cdsDataValidator, "CDS Data Sync Verifier"
aribaAuditCommitNow.search, "Zoeken"
aribaAuditCommitNow.signature, "Ondertekening"
