Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Acties en condities worden getraceerd"
adapter, "Externe adapters"
adaptersql, "SQL-instructies voor externe adapter"
admin, "Berichten met betrekking tot Ariba Buyer Administrator"
adminLow, "Berichten op laag niveau met betrekking tot Ariba Buyer Administrator"
adminui, "Berichten met betrekking tot catalogusadministratie"
all, "Alle berichtcategorieën"
allocIds, "Servertoewijzingen van ID's"
analysisMaster, "Analysis-hoofdbestand"
analysisMaster.analysis, "Analysis divers"
analysisMaster.analysisAdmin, "Berichten met betrekking tot Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Analysis-gegevens laden"
analysisMaster.analysisLoadDetails, "Gedetailleerd log van Analysis-gegevens laden"
analysisMaster.analysisQuery, "Analysis-querybewerkingen"
analysisMaster.analysisMDCache, "Analysis-cache"
analysisMaster.analysisRecentUserChoice, "Gegevens over recente keuzes van gebruikers worden gevolgd"
analysisMaster.analysisOlap, "Analysis OLAP"
analysisMaster.analysisBackground, "Analysis-achtergrondrapporten"
analysisMaster.loadfile, "Analysis-bestanden uploaden"
analysisMigration,"Analysis-migratie"
appInfoExtension, "Berichten met betrekking tot appInfo-extensies, alleen relevant bij shared services"
appIntegrate, "kruistoepassing integratieprogramma's"
application, "Informatie over toepassingen"
application.chargeLoading, "informatie over het laden van cXML kosten"
application.charge, "Informatie met betrekking tot kosten"
application.customApprover, "Berichten over programmacode van de klant die is geschreven voor speciale externe goedkeuringen"
application.cxml.aribaNetworkException, "Algemene Ariba Network-fouten"
application.cxml.cxmlOcAsn, "Algemene logica van orderbevestiging en geavanceerde verzendaankondiging wordt getraceerd"
application.cxml.punchout, "cXML punchout-informatie"
application.grid, "Berichten die hebben te maken met raster- en celactiviteiten in prijsvoorwaarden voor contracten"
application.orgPartition, "Berichten m.b.t. partitionering van organisatie"
application.paymentTerms, "Informatie over betalingsvoorwaarden traceren"
application.pricing, "Prijsvoorwaarden worden getraceerd"
application.procurement, "Inkoopgegevens worden getraceerd"
application.procurement.advancedShipNotice, "Voortgang geavanceerde verzendaankondiging wordt getraceerd"
application.procurement.categoryProcurement, "Met categorie-inkoop verwante functionaliteit wordt getraceerd"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "De zichtbaarheid en bewerkbaarheid van de categorie-eigenschappen worden getraceerd"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "De conformiteit van de waarden voor de categorie-eigenschappen worden getraceerd"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Het bijwerken van de waarden voor de categorie-eigenschappen worden getraceerd"
application.procurement.aggregation, "Samenvoegingverwante tracering"
application.procurement.budget, "Budgetverwante tracering"
application.procurement.content, "Inhoudverwante tracering"
application.procurement.contract, "Contractverwante tracering"
application.procurement.contract.contractPricing, "Contractprijsgegevens traceren"
application.procurement.contract.sla, "Informatie over Service Level Agreement van contract wordt getraceerd"
application.procurement.electronicOrder, "Elektronische orderverwerking"
application.procurement.excelImport, "Excel importinformatie"
application.procurement.accrual, "Encumbrance- & Accrual-accumulators bezig met verwerken"
application.procurement.accrualMigrate, "Migratietaal in verband met toename"
application.procurement.itemMaster, "ItemMaster-functionaliteit"
application.procurement.orderConfirmation, "Bevestigingsproces traceringsorder"
application.procurement.ordering, "Voortgang van opmaak en overbrengen van bestellingen traceren"
application.procurement.payment, "Betalingsactiviteiten voor facturen traceren"
application.procurement.receiving, "Ontvangstinformatie traceren"
application.procurement.receiving.detail, "Meer gedetailleerde ontvangstgegevens worden getraceerd"
application.procurement.requisitioning, "Aanvraaginformatie traceren"
application.procurement.service, "Serviceverwante functionaliteit traceren"
application.procurement.service.servicePropertyAccess, "De zichtbaarheid en bewerkbaarheid van de service-eigenschappen worden getraceerd"
application.procurement.service.servicePropertyCompliance, "De conformiteit van de waarden van service-eigendom wordt getraceerd"
application.procurement.service.servicePropertyUpdate, "Updates van de waarden van service-eigendom worden getraceerd"
application.procurement.sourcing, "Sourcinggegevens traceren"
application.procurement.subscriptionTracker, "SubscriptionTracker-verwante tracering"
application.procurement.repair, "Traceringsinformatie verwant aan het opschonen of herstellen van gegevens"
application.reconciliation, "Genereren van facturen en uitzonderingen bij afstemmen traceren"
application.reconciliation.invoicing, "Factuurgegevens worden getraceerd"
application.reconciliation.invoicing.invoiceLoading, "Factuurbelastinggegevens traceren"
invoiceDiagnostics, "Debuggegevens facturering worden getraceerd"
application.reconciliation.irEditability, "Bewerkbaarheid en validatie van afstemmingsdocumenten voor facturen traceren"
application.reconciliation.pcard, "Verwerking van inkoopkaart en laden van kosten traceren"
application.report, "Rapportgegevens worden getraceerd"
application.search, "Zoekinformatie wordt getraceerd"
application.supplierSync, "Informatie met betrekking tot synchronisatie leverancier"
application.tax, "Btw-berekening en -bewerking traceren"
approvable, "Acties voor goed te keuren documenten"
approvalFlow, "Informatie over goedkeuringsproces wordt getraceerd"
aql, "AQL-gegevens worden getraceerd"
aql.query, "Query-bewerkingen"
aql2capi, "Toewijzing AQL naar CAPI"
aqlperf, "Informatie over AQL-prestaties"
aribaISServer, "Berichten die zijn verzonden naar de Ariba-server"
aribaMappingException, "Fouten met betrekking tot PunchOut en catalogustoewijzing"
aribaNetwork, "Ariba-netwerkcommunicatie (algemeen)"
aribaNetworkLow, "Ariba-netwerkcommunicatie (geavanceerd)"
aribaweb, "Verwant aan Ariba web- en http-sessie"
aribaweb.fileupload, "informatie over laden van bestand vanuit lager niveau"
aribaweb.formValue, "wachtrij-informatie voor formulierwaarde"
aribaweb.ihr, "aribaweb hr-informatie"
aribaweb.session, "aribaweb sessie-informatie"
aribawebdomsync, "algemene verwerkingsinformatie voor aribaweb-domein"
aribawebdomsync.element, "algemene verwerkingsinformatie voor element uit aribaweb-domein"
aribaweb_request, "Legt basisinformatie van verzoek vast (verzoek URI, queryparameters, formulierwaarden, cookies)"
aribaweb_html, "Output HTML-bron traceren"
aribaweb_errorManager, "Fouttraceringbeheer"
asmMaster,"ASM-Master"
asmMaster.punchout,"ASM-Punchout"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "ASM-Laderdetails"
asmMaster.discovery, "Ariba Discovery tracering"
audit, "Activiteiten van de beheerder controleren die het systeem wijzigen"
auth, "Verificatieaanvragen"
autoCalc, "Tracering voor automatische berekeningen voor personeelsbestand"
awf, "Het genereren van HTML en de interne werking van de Ariba-webstructuur"
axDecodingInfo, "Algemene informatie XML-decodering"
axDecodingProtocolTrace, "AXDecoding-protocolspoor XML-decodering"
axDecodingTrace, "XML-decoderingsspoor"
back, "Berichten voor het traceren van eerder geopende pagina's"
backplane.pq, "Berichten gerelateerd aan aanhoudende wachtrijen"
backplane.memcached, "Client RPC-berichten gerelateerd aan aanhoudende wachtrijen"
bagdump, "Elk getransformeerd catalogusitem dumpen tijdens importeren"
bagmetrics, "Debug-statistieken voor catalogusbeheer (catalogusitem)"
base, "Algemeen loggen voor basiscomponent"
bindings, "Berichten voor het traceren van bindingen tussen HTML-pagina's"
checkpoint, "Logberichten voor verschillende controlepunten die worden gebruikt voor synchronisatie tussen verschillende knooppunten."
checkpoint.amf.base, "Logberichten voor controlepunten voor de messaging-component"
checkpoint.base, "Logberichten voor controlepunten voor de basiscomponent"
cXML, "Berichten van cXML Channel"
cXML.channel, "Berichten van cXML Channel"
cXML.configuration, "Configuratieberichten van cXML Channel"
cXML.detail, "Gedetailleerde XML-berichten van cXML Channel"
cXML.document, "XML-verkeersberichten van cXML Channel"
cXML.document.failed, "Mislukte cXML-verkeersberichten van cXML Channel"
cXML.encoding, "Coderingsberichten van cXML Channel"
cXML.encodingParse, "Coderingsstatusberichten van cXML Channel"
cXML.transport, "Berichten over netwerkoverdracht van cXML Channel"
cXML.soap, "SOAP-overdrachtberichten van cXML Channel"
cXML.reliableDeliveryService, "Betrouwbare leveringsservice voor specifieke berichten van cXML Channel"
cache, "Diverse berichten van de object-cache"
catalogpublish, "informatie over publiceren van catalogus"
catalog, "Algemene catalogusgegevens"
catalog.type, "Tracering beheer catalogussoort"
catalogdeprecated, "Hoofdcategorie voor afgekeurde cataloguslogboekcategorieën"
catalogdeprecated.catalogCache, "Afgekeurd - Cache-acties catalogus"
catalogdeprecated.catalogSearch, "Afgekeurd - Algemene zoekgegevens voor catalogussen"
catalogdistributedquery, "Door catalogus verspreide query traceren"
cataloglow, "Geavanceerd traceren van catalogussen"
catalogmetrics, "Cataloguszoekopdracht loggen en georiënteerde maateenheden laden"
catimages, "Catalogusafbeeldingen loggen"
catalogExtract, "Logbericht over voortgang uitpakken van catalogus"
catremote, "Knooppunt naar knooppunt-communicatie van catalogus traceren"
ccm, "Centrale databaseverbindingsbeheerder (voor databaseverbindingen)"
cgi, "Foutopsporingsberichten over CGI-aanmeldingen"
channelIO, "Invoer/uitvoer hulpprogrammaboodschappen Channel"
channelTibcoMaster, "Alle berichten van het Tibco-kanaal"
channelui, "Alle beheer UI-gerelateerde berichten"
channelutil, "Hulpprogrammaboodschappen cXML Channel"
choosers, "Alle kiezers en verwante veldcontroleberichten"
clientQuery, "Query's van de kant van de client worden getraceerd"
clusterGets, "Cluster ophalen weergeven"
clusterLocks, "Vergrendelingen/ontgrendelingen van clusters weergeven"
collaboration, "Samenwerkingsverwante tracering"
collaborationWF, "Samenwerkingsverwante tracering personeelsbestand"
commandline, "Feedback opdrachtregel toepassing loggen"
comments, "Opmerkingen over items worden getraceerd"
commonObjectOperations, "Alle bewerkingen die verband houden met gemeenschappelijk te maken gegevens"
configure, "Vastleggen wat het configuratiehulpprogramma doet (configuratie & code genereren)"
connect, "Gemaakte en verbroken verbindingen met client"
constraints, "Berichten met betrekking tot beperkingen"
controllers, "Berichten over veldcontrollers"
currency, "Informatie over valuta en geld"
customer, "Berichten met betrekking tot klantencode"
customization,"Berichten die betrekking hebben op aanpassingen"
customization.ui, "Berichten die betrekking hebben op het aanpassen van de gebruikersinterface"
customization.user, "Berichten die betrekking hebben op een aanpassing die gerelateerd is aan de gebruiker"
cxml, "CXML PunchOut wordt getraceerd"
cxmlbase, "Berichten over de integratie met Buyer van cXML Channel"
cxmlbase.lifecycle, "Berichten over object-levenscyclus van cXML Channel"
cxmlbase.transaction, "Transactieberichten over de integratie met Buyer van cXML Channel"
cxmlinterop, "Algemene logboekcategorie voor cXML uitwisselingspakket."
cxmlinteropcommandline, "Afgekeurde / niet gebruikte logboekcategorie"
cxmlinteropdump, "Gedetailleerde debug-categorie die verwerkte berichten dumpt"
cxmlinterophistory, "Afgekeurde / niet gebruikte logboekcategorie"
cxmlinteroplow, "Afgekeurde / niet gebruikte logboekcategorie"
dashboard, "Dashboardberichten"
data.repairer, "Loggen gerelateerd aan de taak van gegevenshersteller"
dbtop, "Hoog niveau database-bewerkingen"
demoshell, "Traceren in demo-shell"
directAction, "Directe acties traceren"
duplicate, "Objectverdubbeling"
duplicateaml, "Dubbele AML-eigenschappen"
editability, "De bewerkbaarheid van velden wordt getraceerd"
email, "E-mailuitwisselingen traceren"
encryptedString, "Traceren van gecodeerde stringbewerkingen en het opnieuw coderen van vastgehouden gegevens met behulp van een ander coderingsalgoritme"
enumeration, "Berichten met betrekking tot opsomming"
environment, "Berichten over systeeminstellingen"
event, "Gebeurtenissen met betrekking tot de workflow"
eventQueue, "Gebeurteniswachtrij traceren"
expense, "Onkostendeclaratie"
expenseAdmin, "Beheer van uitgavenrichtlijnen in gebruikersinterface"
expense.tbp, "Provider voor het boeken van reizen"
expense.imaging, "Afbeelding maken van onkostenreçu"
expenseExport, "Gegevens voor Ariba mForm exporteren"
expenseMobile, "Berichten aangaande de mobiele client in Ariba Buyer Server"
expensePolicyAudit, "Controletraject voor onkostenbeleid en parameter-update voor onkostencontrole"
exprTrace, "Traceer de evaluatie van alle uitdrukkingen (inclusief klantspecifieke uitdrukkingen)"
extracosts, "Extra kosten"
fetch, "Aanvragen voor objecten van de client aan de server"
fieldProperties, "Berichten over de verwerking van veldeigenschappen"
fields, "Berichten over de verwerking van opmaakelementen voor velden"
fileAccess,"Berichten over toegang tot bestanden"
