Cp1252,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "Generelt"
aribaAuditCommitNow, "Generelt"
aribaAudit.admin, "Admin"
aribaAuditCommitNow.admin, "Admin (oppgaver/filer)"
aribaAuditCommitNow.apputil, "Admin-appverktøy"
aribaAuditCommitNow.dashboard, "Dashbord"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "Unntak"
aribaAuditCommitNow.parameters, "Parametre"
aribaAuditCommitNow.approvable, "Generelt"
aribaAuditCommitNow.realmPurge, "Rydding av kundeområde"
aribaAuditCommitNow.translations, "Oversettelser"
aribaAuditCommitNow.integration, "Integrasjon"
aribaAuditCommitNow.reportTimeout, "Tidsavbrudd for rapport"
aribaAuditCommitNow.analysis, "Analyse"
aribaAuditCommitNow.schemaRealmMapping, "Tilordning av skjema for brukerområde"
aribaAuditCommitNow.cdsSyncVerifier, "CDS synk-kontrollør"
aribaAuditCommitNow.cdsDataValidator, "CDS datasynk-kontrollør"
aribaAuditCommitNow.search, "Søk"
