Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Sporingshandlinger og -betingelser"
adapter, "Eksterne adaptere"
adaptersql, "SQL-setning for ekstern adapter"
admin, "Meldinger i forbindelse med Ariba Buyer Administrator"
adminLow, "Meldinger på lavt nivå i forbindelse med Ariba Buyer Administrator"
adminui, "Meldinger i forbindelse med katalogadministrasjon"
all, "Alle meldingskategorier"
allocIds, "Servertildeling av IDer"
analysisMaster, "Hovedanalyse"
analysisMaster.analysis, "Analyse: diverse"
analysisMaster.analysisAdmin, "Meldinger i forbindelse med Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Analyse: datalasting"
analysisMaster.analysisLoadDetails, "Analyse: datalasting, detaljert logg"
analysisMaster.analysisQuery, "Analyse: spørringsoperasjoner"
analysisMaster.analysisMDCache, "Analyse: hurtigbuffer"
analysisMaster.analysisRecentUserChoice, "Sporing: informasjon om siste brukervalg"
analysisMaster.analysisOlap, "Analyse: OLAP"
analysisMaster.analysisBackground, "Analyse: bakgrunnsrapporter"
analysisMaster.loadfile, "Analyse: last opp filer"
analysisMigration,"Analyse: overføring"
appInfoExtension, "Meldinger i forbindelse med appInfo-filtyper, kun relevant for delte tjenester"
appIntegrate, "integrasjonsfunksjoner for bruk på tvers av programmer"
application, "Programrelatert informasjon"
application.chargeLoading, "cXML-gebyr: opplastingsinformasjon"
application.charge, "Gebyrrelatert informasjon"
application.customApprover, "Meldinger relatert til kundekode skrevet for å utføre spesielle eksterne godkjenninger"
application.cxml.aribaNetworkException, "Generell Ariba-nettverksfeil"
application.cxml.cxmlOcAsn, "Sporer alminnelig logikk for behandling av ordrebekreftelse og utvidet leveringsmelding"
application.cxml.punchout, "cXML: PunchOut-informasjon"
application.grid, "Meldinger relatert til rutenetts- og celleaktiviteter i prisbetingelser for kontrakter"
application.paymentTerms, "Sporer informasjon om betalingsbetingelser"
application.pricing, "Sporer prisbetingelser"
application.procurement, "Sporer anskaffelsesinformasjon"
application.procurement.advancedShipNotice, "Sporer avansert forsendelsesmerknadsprosess"
application.procurement.categoryProcurement, "Sporer kategori: anskaffelsesrelaterte funksjoner"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Sporer synlighet og redigerbarhet for egenskaper for definisjon av kategorier"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Sporer samsvar for egenskapsverdier for definisjon av kategorier"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Sporer oppdatering av egenskapsverdier for definisjon av kategorier"
application.procurement.aggregation, "Samlingsrelatert sporing"
application.procurement.budget, "Budsjettrelatert sporing"
application.procurement.content, "Innholdsrelatert sporing"
application.procurement.contract, "Kontraktrelatert sporing"
application.procurement.contract.contractPricing, "Sporer prissettingsinformasjon for kontrakt"
application.procurement.contract.sla, "Sporer informasjon om tjenestenivåavtale for kontrakt"
application.procurement.electronicOrder, "Elektronisk ordrebehandling"
application.procurement.excelImport, "Informasjon om import fra Excel"
application.procurement.accrual, "Behandling av akkumulatorer for heftelse og periodisering"
application.procurement.accrualMigrate, "Periodiseringsrelatert overføringsoppgave"
application.procurement.itemMaster, "Hovedelement: funksjoner"
application.procurement.orderConfirmation, "Sporer prosess for ordrebekreftelse"
application.procurement.ordering, "Sporer fremdriften til formatering og overføring av ordrer"
application.procurement.payment, "Sporer fakturabetalingsaktiviteter"
application.procurement.receiving, "Sporer mottaksinformasjon"
application.procurement.receiving.detail, "Sporer mer detaljert mottaksinformasjon"
application.procurement.requisitioning, "Sporer informasjon om forespørsel"
application.procurement.service, "Sporer tjenesterelaterte funksjoner"
application.procurement.service.servicePropertyAccess, "Sporer synligheten og redigerbarheten til tjenesteegenskaper"
application.procurement.service.servicePropertyCompliance, "Sporer samsvar for tjenesteegenskapsverdier"
application.procurement.service.servicePropertyUpdate, "Sporer oppdatering av tjenesteegenskapsverdier"
application.procurement.sourcing, "Sporer kildeinformasjon"
application.procurement.subscriptionTracker, "Abonnement: sporingsrelatert sporing"
application.procurement.repair, "Sporer informasjon knyttet til opprydding eller retting av data"
application.reconciliation, "Sporer uoverensstemmelser for generering av faktura og fakturaavstemming"
application.reconciliation.invoicing, "Sporer faktureringsinformasjon"
application.reconciliation.invoicing.invoiceLoading, "Sporer informasjon for lasting av faktura"
invoiceDiagnostics, "Sporer feilsøkingsinformasjon for fakturering"
application.reconciliation.irEditability, "Sporer redigerbarhet og validering av fakturaavstemmingsdokument"
application.reconciliation.pcard, "Sporer behandling av kjøpekort og lasting av gebyr"
application.report, "Sporer rapporteringsinformasjon"
application.search, "Sporer søkeinformasjon"
application.supplierSync, "Info relatert til leverandørsynkronisering"
application.tax, "Sporer skatteberegning og -operasjon"
approvable, "Handlinger på godkjenningsdokumenter"
approvalFlow, "Sporing av informasjon om godkjenningsrunde"
aql, "Sporer AQL-informasjon"
aql.query, "Spørringsoperasjoner"
aql2capi, "Tilordning av AQL til CAPI"
aqlperf, "AQL-ytelse: informasjon"
aribaISServer, "Meldinger sendt til Ariba-serveren"
aribaMappingException, "Feil i forbindelse med tilordning av PunchOut og katalog"
aribaNetwork, "Ariba-nettverkskommunikasjon (høyt nivå)"
aribaNetworkLow, "Ariba-nettverkskommunikasjon (lavt nivå)"
aribaweb, "Gjelder web- og http-økt for Ariba"
aribaweb.fileupload, "Informasjon om filopplasting på lavt nivå"
aribaweb.formValue, "skjemaverdi – køinformasjon"
aribaweb.ihr, "aribaweb: informasjon om timer"
aribaweb.session, "aribaweb: informasjon om økt"
aribawebdomsync, "generell behandlingsinformasjon: aribaweb-domene"
aribawebdomsync.element, "behandlingsinformasjon: element i aribaweb-domene"
aribaweb_request, "Logger grunnleggende forespørselsinfo. (forespørsels-URI, forespørselsparam., skjemaverdier, informasjonskapsler)"
aribaweb_html, "Sporer utdata for HTML-kilde"
aribaweb_errorManager, "Sporer feilbehandler"
asmMaster,"ASM: hovedavtale"
asmMaster.punchout,"ASM: PunchOut"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "ASM: innlastingsdetaljer"
audit, "Revider administratoraktivitet som endrer systemet"
auth, "Forespørsler om godkjenning"
autoCalc, "Sporing etter autom. beregninger for arbeidsstyrkefelter"
awf, "HTML-generering og internt arbeid med Aribas webstruktur"
axDecodingInfo, "XML-dekoding: generell informasjon"
axDecodingProtocolTrace, "XML-dekoding: sporing av protokollen AXDecoding"
axDecodingTrace, "XML-dekoding: sporing"
back, "Meldinger for sporing av siste side"
backplane.pq, "Meldinger i forbindelse med den varige køen"
backplane.memcached, "Klient-rpc-meldinger i den varige køen" 
bagdump, "Dump alle transformerte katalogelementer under import"
bagmetrics, "Feilsøkingsmål for behandling av katalogpose (katalogelement)"
base, "Generell logging for hovedkomponent"
bindings, "Meldinger for sporing av HTML-sidebindinger"
checkpoint, "Logg meldinger for ulike kontrollpunkter som brukes til synkronisering av ulike noder"
checkpoint.amf.base, "Logg meldinger for kontrollpunkter for meldingskomponent"
checkpoint.base, "Logg meldinger for kontrollpunkter for hovedkomponent"
cXML, "cXML-kanal: meldinger"
cXML.channel, "cXML-kanal: meldinger"
cXML.configuration, "cXML-kanal: konfigurasjonsmeldinger"
cXML.detail, "cXML-kanal: XML, detaljerte meldinger"
cXML.document, "cXML-kanal: XML, trafikkmeldinger"
cXML.document.failed, "cXML-kanal: mislykkede XML-trafikkmeldinger"
cXML.encoding, "cXML-kanal: koding av meldinger"
cXML.encodingParse, "cXML-kanal: koding av statusmeldinger"
cXML.transport, "cXML-kanal: meldinger relatert til nettverkstransport"
cXML.soap, "cXML-kanal: SOAP – transportmeldinger"
cXML.reliableDeliveryService, "cXML-kanal: spesifikke meldinger om pålitelig leveringstjeneste"
cache, "Diverse meldinger fra objekthurtigbuffer"
catalogpublish, "katalogpublisering: informasjon"
catalog, "Generell kataloginformasjon"
catalog.type, "Sporer katalogtypebehandling"
catalogdeprecated, "Originalkategori for avskrevne loggkategorier for katalog"
catalogdeprecated.catalogCache, "Avskrevet: hurtigbufferhandlinger for katalog"
catalogdeprecated.catalogSearch, "Avskrevet: søkeinfo på høyt nivå for katalog"
catalogdistributedquery, "Sporer forespørsel distribuert fra katalog"
cataloglow, "Katalogsporing på lavt nivå"
catalogmetrics, "Logg katalogsøk og lastorienterte måleverdier"
catimages, "Logg katalogbilder"
catremote, "Sporer node til node-kommunikasjon for katalog"
ccm, "Tilkoblingsbehandler for sentraldatabase"
cgi, "CGI-pålogging: feilsøkingsmeldinger"
channelIO, "Kanal inn/ut: verktøymeldinger"
channelTibcoMaster, "Alle Tibco-kanalmeldinger"
channelui, "Alle admin. brukergrensesnittrel. meldinger"
channelutil, "cXML-kanal: verktøymeldinger"
choosers, "Alle meldinger relatert til velgere og feltkontroller"
clientQuery, "Sporer forespørsler på klientsiden"
clusterGets, "Vis klyngehenting"
clusterLocks, "Vis låsinger og opplåsinger for klynge"
collaboration, "Samarbeidsrelatert sporing"
collaborationWF, "Sporing i forbindelse med samarbeidsarbeidsflyt"
commandline, "Logging av programtilbakemelding for kommandolinje"
comments, "Sporer kommentarelementinfo"
commonObjectOperations, "Alle vanlige datarelaterte operasjoner"
configure, "Registrer hva konfigurasjonsverktøyet gjør (konfigurasjon og kodegenerering)"
connect, "Klient kobler til og fra"
constraints, "Meldinger som gjelder restriksjoner"
controllers, "Meldinger som gjelder feltkontroller"
currency, "Valuta- og pengerelatert informasjon"
customer, "Meldinger som gjelder kundekode"
customization,"Meldinger som gjelder tilpasninger"
customization.ui, "Meldinger som gjelder tilpasningsgrensesnitt"
customization.user, "Meldinger som gjelder brukerrelaterte tilpasninger"
cxml, "Sporer CXML-PunchOut"
cxmlbase, "cXML-kanal: meldinger om kjøperintegrasjon"
cxmlbase.lifecycle, "cXML-kanal: meldinger om objekters livssyklus"
cxmlbase.transaction, "cXML-kanal: meldinger om transaksjoner for kjøperintegrasjon"
cxmlinterop, "Generell loggingskategori for interoperabilitetspakke for cxml"
cxmlinteropcommandline, "Avskrevet / ikke brukt loggingskategori"
cxmlinteropdump, "Detaljert feilsøkingskategori som dumper behandlet melding"
cxmlinterophistory, "Avskrevet / ikke brukt loggingskategori"
cxmlinteroplow, "Avskrevet / ikke brukt loggingskategori"
dashboard, "Instrumentbordmeldinger"
data.repairer, "Logging i forbindelse med datareparatøroppgave"
dbtop, "Databaseoperasjoner på høyt nivå"
demoshell, "Sporing i demoskall"
directAction, "Sporing av direkte handlinger"
duplicate, "Objektkopiering"
duplicateaml, "Kopier AML-egenskaper"
editability, "Sporer redigerbarhet for felter"
email, "Sporer e-postutveksling"
encryptedString, "Sporer krypterte strengoperasjoner og fast omkryptering av data ved hjelp av en annen krypteringsalgoritme"
enumeration, "Opplistingsrelaterte meldinger"
environment, "Meldinger om systeminnstillinger"
event, "Arbeidsflythendelser"
eventQueue, "Sporer hendelseskø"
expense, "Utgiftsrapport"
expenseAdmin, "Brukergrensesnitt: retningslinjer for administrasjon av utgifter"
expense.tbp, "Reisebestillingsleverandør"
expense.imaging, "Avbildning av utgiftskvittering"
expenseExport, "Eksport av data for Ariba mForm"
expenseMobile, "Melding som gjelder mobilklient på Ariba Buyer-server"
expensePolicyAudit, "Revisjonsspor for oppdatering av parametre for utgiftspolicy og utgiftskontrollpolicy"
extracosts, "Tilleggskostnader"
fetch, "Klientforespørsler til server for objekter"
fieldProperties, "Meldinger som gjelder behandlingsfeltegenskaper"
fields, "Meldinger som gjelder formattering av behandlingsfelt"
fileAccess,"Meldinger som gjelder filtilgang"
fileChannelIO, "Filkanal: inn/ut-relaterte meldinger"
folder, "Mappelastingshendelser"
form,"Generell sporing for dform- og e-skjemarelaterte meldinger"
form.eform, "Sporing for e-skjemarelaterte meldinger"
general, "Generelle loggmeldinger"
graphs, "Grafisk objekt: gjenoppretting"
group, "Sporer generering av gruppevisning"
harness, "Beskyttelsesrelaterte meldinger"
harnessContext, "Meldinger for objekter som er lagret/hentet i innholdet"
harnessDetails, "Beskyttelsesrelaterte feilsøkingsmeldinger"
help, "Meldinger som gjelder tilgang til hjelpesider"
