Cp1252,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"Malanalysatorfeil","Page title for the error message; "
TemplateParserTitle,"Malanalysatorfeil","Title for the template parser error; "
FileErrorMsg,"Malanalysator: filfeil: malfilen finnes ikke eller kan ikke leses.","Invalid template name encountered; "
IOErrorMsg,"Malanalysator: IU-feil: det oppstod en feil under lesing av malfilen.","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"d","abbreviation for day; "
HourAbbrev,"t","abbreviation for hours; "
MinutesAbbrev,"min","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"Ja","This is used from BooleanFormatter; "
BooleanFalse,"Nei","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"Boolske verdier må være ""sann"" eller ""usann""","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"""{0}"" er ikke et gyldig tall","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"""{0}"" er ikke en gyldig dato","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"Ugyldig tegn i nummer","error when there is a non-numeric character in a number"
InvalidYear,"Ugyldig år","error when the year is invalid in a date"
NoDigitsFound,"Numerisk verdi obligatorisk","error when a number is required and no digits are entered"
NumberFormatError,"Den numeriske verdien har ikke riktig format.","friendly error msg for NumberFormatException"
MaxValueExceeded,"Verdi ""{0}"" er større enn maksimal tillatt verdi ""{1}"".", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"Verdi ""{0}"" er mindre enn minimal tillatt verdi ""{1}"".", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"Verdi ""{0}"" må være et heltall.", "Error when integer value contains fractions"

