Cp1252,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "Geral"
aribaAuditCommitNow, "Geral"
aribaAudit.admin, "Admin"
aribaAuditCommitNow.admin, "Admin (tarefas/arquivos)"
aribaAuditCommitNow.apputil, "Utilitário de aplicativos de administração"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "Exceção"
aribaAuditCommitNow.parameters, "Parâmetros"
aribaAuditCommitNow.approvable, "Geral"
aribaAuditCommitNow.realmPurge, "Eliminação de realm"
aribaAuditCommitNow.integration, "Integração"
aribaAuditCommitNow.reportTimeout, "Tempo de espera do relatório"
aribaAuditCommitNow.schemaRealmMapping, "Mapeamento do realm de esquema"
aribaAuditCommitNow.cdsSyncVerifier, "Verificador de sincronização CDS"
