Cp1251,
, This file is a mapping of all of the categories to their descriptions

action, "Отслеживание действий и условий"
adapter, "Внешние источники"
adaptersql, "Инструкции SQL внешнего источника"
admin, "Сообщения, связанное с Ariba Buyer Administrator"
adminLow, "Низкоуровневые сообщения, связанные с Ariba Buyer Administrator"
adminui, "Сообщения, связанные с администрирование каталогов"
all, "Все категории сообщений"
allocIds, "Выделение идентификаторов на сервере"
analysisMaster, "Основные сообщения Analysis"
analysisMaster.analysis, "Различные сообщения Analysis"
analysisMaster.analysisAdmin, "Сообщения, связанное с Ariba Analysis Administrator"
analysisMaster.analysisDataLoad, "Загрузка данных в Analysis"
analysisMaster.analysisLoadDetails, "Подробный журнал загрузки данных в Analysis"
analysisMaster.analysisQuery, "Работа с запросами в Analysis"
analysisMaster.analysisMDCache, "Кэш Analysis"
analysisMaster.analysisRecentUserChoice, "Отслеживание сведений о сделанных недавних выборах пользователя"
analysisMaster.analysisOlap, "Analysis OLAP"
analysisMaster.analysisBackground, "Фоновые отчеты Analysis"
analysisMaster.loadfile, "Загрузка файлов на сервер в Analysis"
analysisMigration,"Миграция Analysis"
appInfoExtension, "Сообщения, связанные с расширениями appInfo, относится только к общим службам"
appIntegrate, "общие для всех приложений утилиты интеграции"
application, "Сведения, касающиеся приложения"
application.chargeLoading, "Сведения о загрузке платежей cXML"
application.charge, "Сведения, связанные с платежами"
application.customApprover, "Сообщения, касающиеся исходного кода клиента, написанного для выполнения специальных внешних утверждений"
application.cxml.aribaNetworkException, "Общие ошибки сети Ariba"
application.cxml.cxmlOcAsn, "Отслеживание общей логики процесса подтверждения заказа и предварительного уведомления об отгрузке"
application.cxml.punchout, "Сведения cXML punchout"
application.grid, "Сообщения, связанные с таблицами и ячейками в условиях расчета цен для контрактов"
application.orgPartition, "Сообщения, касающиеся разбиения организации"
application.paymentTerms, "Отслеживание сведений об условиях оплаты"
application.pricing, "Отслеживание условий расчета цен"
application.procurement, "Отслеживание сведений о закупках"
application.procurement.advancedShipNotice, "Отслеживание процесса предварительного уведомления об отгрузке"
application.procurement.categoryProcurement, "Отслеживание функций закупок по категориям"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Отслеживание видимости и возможности редактирования свойств определений категорий"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Отслеживание соответствия значений свойств определений категорий"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Отслеживание обновлений значений свойств определений категорий"
application.procurement.aggregation, "Отслеживание статистических операций"
application.procurement.budget, "Отслеживание работы с бюджетом"
application.procurement.content, "Отслеживание работы с содержимым и данными"
application.procurement.contract, "Отслеживание работы с контрактами"
application.procurement.contract.contractPricing, "Отслеживание сведений о расчете цен контрактов"
application.procurement.contract.sla, "Отслеживание сведений о соглашении об уровне обслуживания по контракту"
application.procurement.electronicOrder, "Электронная обработка заказов"
application.procurement.excelImport, "Сведения об импорте Excel-файлов"
application.procurement.accrual, "Обработка накопителей затруднений и начислений"
application.procurement.accrualMigrate, "Задача миграции начислений"
application.procurement.itemMaster, "Функциональность идентификации позиций"
application.procurement.orderConfirmation, "Отслеживание процесса подтверждения заказа"
application.procurement.ordering, "Отслеживание хода форматирования и передачи заказов"
application.procurement.payment, "Отслеживание деятельности по оплате счетов-фактур"
application.procurement.receiving, "Отслеживание сведений о получении"
application.procurement.receiving.detail, "Отслеживание более подробных сведений о получении"
application.procurement.requisitioning, "Отслеживание сведений о заявках"
application.procurement.service, "Отслеживание функций, связанных с услугами"
application.procurement.service.servicePropertyAccess, "Отслеживание видимости и возможности редактирования свойств услуг"
application.procurement.service.servicePropertyCompliance, "Отслеживание соответствия значений свойств услуг"
application.procurement.service.servicePropertyUpdate, "Отслеживание обновления значений свойств услуг"
application.procurement.sourcing, "Отслеживание сведений о закупках"
application.procurement.subscriptionTracker, "Отслеживание сведений, связанных с SubscriptionTracker"
application.procurement.repair, "Отслеживание сведений о чистке или исправлении данных"
application.reconciliation, "Отслеживание исключений формирования и сверки счетов-фактур"
application.reconciliation.invoicing, "Отслеживание счетов-фактур"
application.reconciliation.invoicing.invoiceLoading, "Отслеживание сведений о загрузке счетов-фактур"
invoiceDiagnostics, "Данные отладки отслеживания счетов-фактур"
application.reconciliation.irEditability, "Отслеживание возможности редактирования и проверки документов сверки счетов-фактур"
application.reconciliation.pcard, "Отслеживание обработки закупочных карточек и загрузки платежей"
application.report, "Отслеживание сведений о создании отчетов"
application.search, "Отслеживание сведений о поисках"
application.supplierSync, "Сведения, связанные с синхронизацией поставщиков"
application.tax, "Отслеживание вычисления налогов и операций с ними"
approvable, "Действия с документами на утверждение"
approvalFlow, "Отслеживание сведений о процессе утверждения"
aql, "Отслеживание AQL"
aql.query, "Работа с запросами"
aql2capi, "Сопоставление AQL и CAPI"
aqlperf, "Сведения о производительности AQL"
aribaISServer, "Сообщения, отправленные на сервер Ariba"
aribaMappingException, "Ошибки сопоставлений Punchout и каталогов"
aribaNetwork, "Сетевая связь Ariba (высокоуровневая)"
aribaNetworkLow, "Сетевая связь Ariba (низкоуровневая)"
aribaweb, "Веб-сеансы Ariba"
aribaweb.fileupload, "сведения о низкоуровневой загрузке файлов"
aribaweb.formValue, "сведения об очереди значений формы"
aribaweb.ihr, "сведения aribaweb hr"
aribaweb.session, "сведения о сеансах aribaweb"
aribawebdomsync, "общие сведения об обработке aribaweb dom"
aribawebdomsync.element, "общие сведения об обработке элементов aribaweb dom"
aribaweb_request, "Регистрация основных сведений о запросах (URI запроса, параметры запроса, значения форм, файлы ""cookie"")"
aribaweb_html, "Отслеживание вывода HTML-источника"
aribaweb_errorManager, "Отслеживание диспетчера ошибок"
asmMaster,"Основные данные ASM"
