Cp1252,
, This file is a mapping of all of the categories to their descriptions

action, "Spårning och villkor"
adapter, "Externa konverteringar"
adaptersql, "Extern konvertering för SQL-uttryck"
admin, "Meddelanden som rör Ariba Buyer Administrator"
adminLow, "Meddelanden på låg nivå som rör Ariba Buyer Administrator"
adminui, "Meddelanden som rör katalogadministration"
all, "Alla meddelandekategorier"
allocIds, "Serverallokeringar av ID:n"
analysisMaster, "Analysis - Huvudavtal"
analysisMaster.analysis, "Analysis - Övrigt"
analysisMaster.analysisAdmin, "Meddelanden som relaterar till Ariba Analysis-administratören"
analysisMaster.analysisDataLoad, "Analysis - Datainläsning"
analysisMaster.analysisLoadDetails, "Analysis - Detaljerad logg för datainläsning"
analysisMaster.analysisQuery, "Analysis - Frågeåtgärder"
analysisMaster.analysisMDCache, "Analysis - Cache"
analysisMaster.analysisRecentUserChoice, "Spåra senaste information för användarval"
analysisMaster.analysisOlap, "Analysis - OLAP"
analysisMaster.analysisBackground, "Analysis - Bakgrundsrapporter"
analysisMaster.loadfile, "Analysis - Överför filer"
analysisMigration,"Analysis - Migrering"
appInfoExtension, "Meddelanden som rör programinfo-tillägg, endast relevant med delade tjänster"
appIntegrate, "integrationsverktyg mellan program"
application, "Programrelaterad information"
application.chargeLoading, "cXML - Information om inläsning av kostnader"
application.charge, "Kostnadsrelaterad information"
application.customApprover, "Meddelanden som rör kundskriven kod för att utföra särskilda externa begäranden"
application.cxml.aribaNetworkException, "Allmänna fel i Ariba-nätverk"
application.cxml.cxmlOcAsn, "Spåra gemensam logik vid process för beställningsbekräftelse och meddelande om leverans"
application.cxml.punchout, "cXML - Punchout-information"
application.grid, "Meddelanden som rör rutnäts- och cellaktiviteter i kontrakts prissättningsvillkor"
application.orgPartition, "Meddelanden som är relaterade till organisationens uppdelning"
application.paymentTerms, "Spåra information om betalningsvillkor"
application.pricing, "Spåra prissättningsvillkor"
application.procurement, "Spåra upphandlingsinformation"
application.procurement.advancedShipNotice, "Spåra processen för avancerad meddelande om leverans"
application.procurement.categoryProcurement, "Spåra relaterad funktionalitet för kategoriupphandling"
application.procurement.categoryProcurement.categoryDefinitionPropertyAccess, "Spåra synlighet och redigerbarhet av kategoridefinitioners egenskaper"
application.procurement.categoryProcurement.categoryDefinitionPropertyCompliance, "Spåra överensstämmelse av kategoridefinitioners egenskapsvärden"
application.procurement.categoryProcurement.categoryDefinitionPropertyUpdate, "Spåra uppdatering av kategoridefinitioners egenskapsvärden"
application.procurement.aggregation, "Aggregeringsrelaterad spårning"
application.procurement.budget, "Budgetrelaterad spårning"
application.procurement.content, "Innehållsrelaterad spårning"
application.procurement.contract, "Kontraktsrelaterad spårning"
application.procurement.contract.contractPricing, "Spårning - Prissättningsinformation för kontrakt"
application.procurement.contract.sla, "Spårning - Kontraktsinformation om servicenivåavtal"
application.procurement.electronicOrder, "Elektronisk orderbehandling"
application.procurement.excelImport, "Information om Excel-import"
application.procurement.accrual, "Ackumulatorbehandling för avsättningar och periodisering"
application.procurement.accrualMigrate, "Avsättningsrelaterad migreringsaktivitet"
application.procurement.itemMaster, "Funktionalitet för masterartikel"
application.procurement.orderConfirmation, "Spårning - Processen för bekräftelse av beställning"
application.procurement.ordering, "Spårning - Förlopp för formatering och överföring av beställningar"
application.procurement.payment, "Spårning - Fakturabetalningsaktiviteter"
application.procurement.receiving, "Spårning - Mottagningsinformation"
application.procurement.receiving.detail, "Spårning - Mer detaljerad mottagningsinformation"
application.procurement.requisitioning, "Spårning - Information om inköpsanmodan"
application.procurement.service, "Spårning - Tjänsterelaterad funktionalitet"
application.procurement.service.servicePropertyAccess, "Spårning - Synlighet och redigerbarhet av tjänsters egenskaper"
application.procurement.service.servicePropertyCompliance, "Spårning - Uppfyllelse av tjänsters egenskapsvärden"
application.procurement.service.servicePropertyUpdate, "Spårning - Uppdatering av tjänsters egenskapsvärden"
application.procurement.sourcing, "Spårning - Anskaffningsinformation"
application.procurement.subscriptionTracker, "SubscriptionTracker-relaterad spårning"
application.procurement.repair, "Spårning - Information som rör rensning eller reparation av data"
application.reconciliation, "Spårning - Fakturagenerering och matchningsundantag"
application.reconciliation.invoicing, "Spårning - Faktureringsinformation"
application.reconciliation.invoicing.invoiceLoading, "Spårning - Information om fakturainläsning"
invoiceDiagnostics, "Spårning - Felsökningsinformation för fakturering"
application.reconciliation.irEditability, "Spårning - Redigerbarhet och validering av fakturamatchningsdokument"
application.reconciliation.pcard, "Spårning - Betalkortsbehandling och kostnadsinläsning"
application.report, "Spårning - Rapportinformation"
application.search, "Spårning - Sökinformation"
application.supplierSync, "Relaterad information från leverantörssynkronisering"
application.tax, "Spårning - Skatteberäkning och åtgärder"
approvable, "Åtgärder för dokument för godkännande"
approvalFlow, "Spårning - Information för godkännandeflöde"
aql, "Spårning - AQL-information"
aql.query, "Frågeåtgärder"
aql2capi, "Mappning av AQL till CAPI"
aqlperf, "Prestandainformation om AQL"
aribaISServer, "Meddelanden som skickas till ariba-servern"
aribaMappingException, "Fel som rör Punchout- och katalogmappning"
aribaNetwork, "Ariba - Nätverkskommunikation (översikt)"
aribaNetworkLow, "Ariba - Nätverkskommunikation (avancerad)"
aribaweb, "Ariba - webb- och http-sessionsrelaterat"
aribaweb.fileupload, "information på låg nivå om filöverföring"
aribaweb.formValue, "köinformation för formulärsvärden"
aribaweb.ihr, "hr-information för aribaweb"
aribaweb.session, "sessionsinformation för aribaweb"
aribawebdomsync, "allmän behandlingsinformation för aribaweb dom"
aribawebdomsync.element, "elementbehandlingsinformation för aribaweb dom"
aribaweb_request, "Loggar grundläggande information om begäranden (begärans URI, frågeparametrar, formulärvärden, cookies)"
aribaweb_html, "Spåra HTML-källutdata"
aribaweb_errorManager, "Spåra felhanterare"
asmMaster,"ASM - Master"
asmMaster.punchout,"ASM - Punchout"
asmMaster.asm,"ASM"
asmMaster.loaderDetails, "ASM - Inläsningsdetaljer"
asmMaster.discovery, "Ariba Discovery - Spårning"
audit, "Utför revision på admin-användaraktivitet som ändrar systemet"
auth, "Autentiseringsbegäran"
autoCalc, "Spåra automatiska beräkningar i arbetsstyrkefält"
awf, "HTML-generering och internt arbete med webbramverk för Ariba"
axDecodingInfo, "Allmän information om XML-avkodning"
axDecodingProtocolTrace, "Spårning av AX-avkodningsprotokoll för XML-avkodning"
axDecodingTrace, "Spårning av XML-avkodning"
back, "Meddelanden för spårning av sidor bakåt"
backplane.pq, "Meddelanden som rör ihärdig kö"
backplane.memcached, "RPC-meddelanden för klienten för ihärdig kö"
bagdump, "Dumpa varje omvandlad katalogartikel vid import"
bagmetrics, "Felsök mått för behållarhantering av katalog (katalogartikel)"
base, "Allmän loggning för baskomponenten"
bindings, "Meddelanden för att spåra bindningar för HTML-sida"
checkpoint, "Logga meddelanden för olika kontrollpunkter som används vid synkronisering mellan olika noder"
checkpoint.amf.base, "Logga meddelanden för meddelandekomponentens kontrollpunkter"
checkpoint.base, "Logga meddelanden för grundkomponentens kontrollpunkter"
cXML, "Meddelanden i cXML-kanal"
cXML.channel, "Meddelanden i cXML-kanal"
cXML.configuration, "Konfigurationsmeddelanden i cXML-kanal"
cXML.detail, "XML-detaljmeddelanden i cXML-kanal"
cXML.document, "XML-trafikmeddelanden i cXML-kanal"
cXML.document.failed, "XML-trafikmeddelanden misslyckades i cXML-kanal"
cXML.encoding, "Kodningsmeddelanden i cXML-kanal"
cXML.encodingParse, "Meddelanden om kodningsstatus i cXML-kanal"
cXML.transport, "Nätverkstransportrelaterade meddelanden i cXML-kanal"
cXML.soap, "SOAP-transportmeddelanden i cXML-kanal"
cXML.reliableDeliveryService, "Tjänstespecifika meddelanden om leveranstillförlighet i cXML-kanal"
cache, "Övriga meddelanden från objektcachen"
catalogpublish, "katalogpubliceringsinformation"
catalog, "Allmän kataloginformation"
catalog.type, "Spåra katalogtypshantering"
catalogdeprecated, "Huvudkategori för utgångna katalogloggkategorier"
catalogdeprecated.catalogCache, "Utgånget - cacheåtgärder för kataloger"
catalogdeprecated.catalogSearch, "Utgånget - information om översiktssökning av katalog"
catalogdistributedquery, "Spåra katalogdistribuerad fråga"
cataloglow, "Avancerad katalogspårning"
catalogmetrics, "Logga katalogsöknings- och inläsningsorienterade mått"
catimages, "Logga katalogbilder"
catalogExtract, "Logga fortskridande av katalogextrahering"
catremote, "Spårning av nod till nod-kommunikation för kataloger"
ccm, "Central anslutningshanterare (för databasanslutningar)"
cgi, "Felmeddelanden vid CGI-inloggning"
channelIO, "Meddelanden om verktyg i IO-kanal"
channelTibcoMaster, "Alla Tibco-kanalmeddelanden"
channelui, "Alla admingränssnittsrelaterade meddelanden"
channelutil, "Meddelanden om verktyg i cXML-kanal"
choosers, "Alla meddelanden för väljare och relaterade fältkontroller"
clientQuery, "Spåra frågor på klientsidan"
clusterGets, "Visa klusterhämtningar"
clusterLocks, "Visa kluster låsta/upplåsta"
collaboration, "Spårning som rör förhandling"
collaborationWF, "Spårning som rör arbetsflödet för förhandling"
commandline, "Loggning av synpunkter för kommandoradsprogram"
comments, "Spåra kommentarer för artikelinformation"
commonObjectOperations, "Valfria datarelaterade åtgärder som kan göras gemensamma"
configure, "Spara information om vad konfigurationsverktyget gör (konfiguration och kodgenerering)"
connect, "Klient ansluter och kopplar från"
constraints, "Meddelanden gällande begränsningar"
controllers, "Meddelanden som rör fältkontroller"
currency, "Valuta- och penningrelaterad information"
customer, "Meddelanden som rör kundkoder"
customization,"Meddelanden som rör anpassningar"
customization.ui, "Meddelanden som rör anpassningsgränssnittet"
customization.user, "Meddelanden som rör anpassningar som är kopplade till användaren"
cxml, "Spåra CXML-PunchOut"
cxmlbase, "Buyer-integrationsmeddelanden i cXML-kanal"
cxmlbase.lifecycle, "Meddelanden om objektlivscykel i cXML-kanal"
cxmlbase.transaction, "Transaktionsmeddelanden om integration av Buyer i cXML-kanal"
cxmlinterop, "Allmän loggningskategori för cxml interoperabilitetspaket."
cxmlinteropcommandline, "Loggningskategori för utgånget/ej använt"
cxmlinteropdump, "Detaljerad bugglösningskategori som dumpar behandlat meddelande"
cxmlinterophistory, "Loggningskategori för utgånget/ej använt"
cxmlinteroplow, "Loggningskategori för utgånget/ej använt"
dashboard, "Meddelanden i panelen"
data.repairer, "Loggning som rör datareparationsaktiviteten"
dbtop, "Övergripande databasåtgärder"
demoshell, "Spåra i demogränssnitt"
directAction, "Spåra direkta åtgärder"
duplicate, "Objektduplicering"
duplicateaml, "Dubbletter av AML-egenskaper"
editability, "Spårning - redigerbarhet av fält"
email, "Spåra e-postutbyten"
encryptedString, "Spåra krypterade strängåtgärder och ihärdig omkryptering av data med en annan krypteringsalgoritm"
enumeration, "Uppräkningsrelaterade meddelanden"
environment, "Meddelanden om systeminställningar"
event, "Ärenden"
eventQueue, "Spårning - händelsekö"
expense, "Utgiftsrapport"
expenseAdmin, "Gränssnittsadministration av utgiftsriktlinjer"
expense.tbp, "Leverantör av resebokning"
expense.imaging, "Avbildning av utgiftskvitto"
expenseExport, "Exportera data för Ariba mForm"
expenseMobile, "Meddelanden som rör Ariba Buyer-serverns mobila klient"
expensePolicyAudit, "Revisionsspår för uppdatering av utgiftspolicy och policyparametrar för utgiftsrevision"
exprTrace, "Följ upp utvärderingen av alla uttryck (inklusive anpassade uttryck)"
extracosts, "Extra kostnader"
fetch, "Klientbegäran till servern för objekt"
fieldProperties, "Meddelanden som rör behandling av fältegenskaper"
fields, "Meddelanden som rör behandling av fältformatering"
fileAccess,"Meddelanden som rör filåtkomst"
fileChannelIO, "Meddelanden som rör I/O i filkanaler"
folder, "Händelser vid mappinläsning"
form,"Allmän spårning för meddelanden med koppling till dokumentformulär och elektroniska formulär"
form.eform, "Spårning för meddelanden med koppling till e-formulär"
general, "Allmänna loggmeddelanden"
graphs, "Ombildning av diagramobjekt"
group, "Spårning - generering av gruppvy"
harness, "Harness-relaterade meddelanden"
harnessContext, "Meddelanden för objekt som sparats/hämtats i sammanhanget"
harnessDetails, "Harness-relaterade felmeddelanden"
help, "Meddelande som rör åtkomst till hjälpsidor"
