Cp1252,,
Today,"idag","Technical: String representing today (for convenient input).; "
Yesterday,"igår","Technical: String representing yesterday (for convenient input).; "
Tomorrow,"imorgon","Technical: String representing tomorrow (for convenient input).; "
YearRelativeFmt,"yyyy-MM-dd","Technical: Must be a valid java.text.DateFormat format.; "
DefaultFmt, "EEE d MMM yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDefaultFmt,"EEE d MMM yyyy HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt, "'Idag' HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
TodayFmt, "'Idag'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseDateTimeFmt, "yyyy-MM-dd HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseDateTimeFmt, "yyyy-MM-dd HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedDateTimeFmt,"yyyy-MM-dd HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"yyyy-MM-dd HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt,"yyyy-MM-dd","Technical: Must be a valid java.text.DateFormat format.; "
PaddedConciseFmt, "yyyy-MM-dd","Technical: Must be a valid java.text.DateFormat format.; "
ExtraConciseFmt,"yy-MM-dd","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt, "EEE d MMM yyyy","Technical: Must be a valid java.text.DateFormat format.; "
DateMonthYearFmt, "d MMMM yyyy","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearFmt, "yyyy-MM-dd HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDateMonthYearTZFmt,"yyyy-MM-dd HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt, "EEEE'en' 'den' d MMMM yyyy","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearTZFmt, "EEEE'en' 'den' d MMMM yyyy zzz","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearFmt, "EEEE'en' 'den' d MMMM yyyy 'kl.' HH:mm","Technical: Must be a valid java.text.DateFormat format.; "
FullDayDateMonthYearTZFmt,"EEEE'en' 'den' d MMMM yyyy 'kl.' HH:mm, zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt, "H:mm:ss","Technical: Must be a valid java.text.DateFormat format.; "
DayOfWeekFmt, "EEE","Technical: Must be a valid java.text.DateFormat format.; "
FormatsSeparator, ";","separator character for date format pattern lists; "
SystemFormats, "yyyy-MM-dd EEE;yyyy-MM-dd;yy-MM-dd;yyyyMMdd;d MMM yyyy", "list of date formats to try when parsing any date string; "
UserFormats, "d MMM yyyy;yy MMM d;EEE d MMM yyyy;EEE d MMM yy;yyyy-MM-dd EEE","list of date formats to try when parsing user date strings; "
ReportingDateFmt,"yyyy-MM-dd","Date format for reporting."
HourMinuteSecond,"HH:mm:ss", "Technical: Must be a valid java.text.DateFormat format."
HourMinuteAMPM,"HH:mm", "e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format."
DayOfWeekStart,"0","Sunday:0 Monday:1 e.g., French calendar starts on Monday"
CalendarHeaderFmt,"MMM yyyy","Header of calender shown in Date Chooser."
