GB2312,
, This file is a of audit categories (from the logger names) to friendlier names

aribaAudit, "常规"
aribaAuditCommitNow, "常规"
aribaAudit.admin, "管理"
aribaAuditCommitNow.admin, "管理 (任务/文件)"
aribaAuditCommitNow.apputil, "管理应用程序"
aribaAuditCommitNow.dashboard, "数据中心"
aribaAuditCommitNow.sso, "SSO"
aribaAuditCommitNow.exception, "异常"
aribaAuditCommitNow.parameters, "参数"
aribaAuditCommitNow.approvable, "常规"
aribaAuditCommitNow.realmPurge, "领域清除"
aribaAuditCommitNow.translations, "翻译"
aribaAuditCommitNow.integration, "集成"
aribaAuditCommitNow.reportTimeout, "报告超时"
aribaAuditCommitNow.analysis, "分析"
aribaAuditCommitNow.schemaRealmMapping, "架构领域映射"
aribaAuditCommitNow.cdsSyncVerifier, "CDS 同步验证程序"
aribaAuditCommitNow.cdsDataValidator, "CDS 数据同步验证程序"
aribaAuditCommitNow.search, "搜索"
aribaAuditCommitNow.signature, "签名"
