GB2312,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"模板分析程序错误","Page title for the error message; "
TemplateParserTitle,"模板分析程序错误","Title for the template parser error; "
FileErrorMsg,"模板分析程序: 文件错误: 模板文件不存在或者不可读。","Invalid template name encountered; "
IOErrorMsg,"模板分析程序: IO 错误: 读取模板文件时出错。","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"天","abbreviation for day; "
HourAbbrev,"小时","abbreviation for hours; "
MinutesAbbrev,"分钟","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"是","This is used from BooleanFormatter; "
BooleanFalse,"否","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"布尔值必须是“真”或“假”","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"“{0}”不是有效数字。","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"“{0}”不是有效日期","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"数字中的字符无效","error when there is a non-numeric character in a number"
InvalidYear,"年份无效","error when the year is invalid in a date"
NoDigitsFound,"必须提供数字值","error when a number is required and no digits are entered"
NumberFormatError,"该数字值的格式不正确。","friendly error msg for NumberFormatException"
MaxValueExceeded,"值“{0}”大于最大允许值“{1}”。", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"值“{0}”小于最小允许值“{1}”。", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"值“{0}”必须是整数。", "Error when integer value contains fractions"

