Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Sono stati rilevati alcuni errori nel contenuto incollato in questa pagina. Il testo non valido è stato rimosso. Verificare le voci e inviare nuovamente.",""
"RichTextAreaScript",a001,"Bold","Grassetto",""
"RichTextAreaScript",a002,"Italic","Corsivo",""
"RichTextAreaScript",a003,"Underline","Sottolineato",""
"RichTextAreaScript",a004,"Ordered List","Elenco ordinato",""
"RichTextAreaScript",a005,"Bulleted List","Elenco puntato",""
"RichTextAreaScript",a006,"Font Color","Colore font",""
"RichTextAreaScript",a007,"Background Color","Colore sfondo",""
"RichTextAreaScript",a008,"size","dimensioni",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Fare clic su un colore",""
"RichTextAreaScript",a011,"Sample","Campione",""
"RichTextAreaScript",a012,"Color","Colore",""
"RichTextAreaScript",a013,"Close","Chiudi",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Ingrandisci/Riduci a icona Editor",""
"RichTextAreaScript",a015,"font","font",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Rimuovi formattazione",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Rimuovere la formattazione?",""
