Cp1252,,,,
"AWTBatchNavigationBar",1,"item","voce",""
"AWTBatchNavigationBar",2,"items","voci",""
"AWTBatchNavigationBar",a001,"Page","Pagina",""
"AWTDataTable",a002,"No items","Nessuna voce",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Mostra/nascondi colonne",""
"AWTOptionalColumnsPage",a002,"Column Name","Nome colonna",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu Opzioni tabella",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Riduci a icona/ingrandisci tabella",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Mostra/nascondi colonne",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Espansione struttura",""
"AWTOptionsMenuItems",a003,"Expand All","Espandi tutto",""
"AWTOptionsMenuItems",a004,"Collapse All","Comprimi tutto",""
"AWTOptionsMenuItems",a005,"Group by Column","Raggruppa per colonna",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Espansione raggruppamento",""
"AWTOptionsMenuItems",a007,"Collapse All","Comprimi tutto",""
"AWTOptionsMenuItems",a008,"Expand All","Espandi tutto",""
"AWTOptionsMenuItems",a009,"Export to Excel","Esporta in Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Esporta tutte le righe",""
"AWTOptionsMenuItems",a011,"Export Current Page","Esporta pagina corrente",""
"AWTOptionsMenuItems",a012,"More...","Continua...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Layout tabella pivot",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Mostra righe dettagli",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Configura layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Espandi righe dei dettagli",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Comprimi righe dei dettagli",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Modifica layout tabella",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Campi colonna",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Campi riga",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Attributi colonne",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Attributi dettagli",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Attributi nascosti",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Comprimi...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Espandi...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Recupero dati in corso...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Fare clic per invertire l'ordine di questa colonna",""
