Shift_JIS,,,,
"AWTBatchNavigationBar",1,"item","項目",""
"AWTBatchNavigationBar",2,"items","項目",""
"AWTBatchNavigationBar",a001,"Page","ページ",""
"AWTDataTable",a002,"No items","項目はありません",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","列の表示/非表示",""
"AWTOptionalColumnsPage",a002,"Column Name","列名",""
"AWTOptionsMenuButton",a001,"Table Options Menu","表オプションメニュー",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","表の最大化/最小化",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","列の表示/非表示",""
"AWTOptionsMenuItems",a002,"Outline Expansion","概観の表示形式",""
"AWTOptionsMenuItems",a003,"Expand All","すべて表示",""
"AWTOptionsMenuItems",a004,"Collapse All","すべて非表示",""
"AWTOptionsMenuItems",a005,"Group by Column","列ごとにグループ化",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","グループの表示形式",""
"AWTOptionsMenuItems",a007,"Collapse All","すべて非表示",""
"AWTOptionsMenuItems",a008,"Expand All","すべて表示",""
"AWTOptionsMenuItems",a009,"Export to Excel","Excel にエクスポート",""
"AWTOptionsMenuItems",a010,"Export all Rows","すべてをエクスポート",""
"AWTOptionsMenuItems",a011,"Export Current Page","現在のページをエクスポート",""
"AWTOptionsMenuItems",a012,"More...","続き...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","ピボットテーブルのレイアウト",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","詳細行を表示",""
"AWTOptionsMenuItems",a015,"Configure Layout...","レイアウトの設定...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","詳細行をすべて表示",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","詳細行をすべて非表示",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","テーブルレイアウトの編集",""
"AWTPivotConfigurationPanel",a002,"Column Fields","列フィールド",""
"AWTPivotConfigurationPanel",a003,"Row Fields","行フィールド",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","列属性",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","詳細属性",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","非表示の属性",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","表示を減らす...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","さらに表示...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","データを取得しています",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","クリックすると、この列の並び順が逆になります",""
