Shift_JIS,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. All Rights Reserved.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","Ariba, Inc.、Ariba、Ariba, Inc. ロゴ、および Ariba.com は、Ariba 社の商標またはサービスマークです。Ariba 社の商標とサービスマークに関する詳細は、{0}www.ariba.com/legal/trademarks.cfm{/0} を参照してください。このサイト上で特に記載のない場合は、使用されているその他すべての商標、サービスマーク、およびロゴは、それぞれの著作者に属する商標、サービスマーク、またはロゴであることを意味します。",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","ナビゲーションパネルを閉じる",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","ナビゲーションパネルを開く",""
"AribaBasicPageWrapper",a005,"Home","ホーム",""
"AribaBasicPageWrapper",a006,"Help","ヘルプ",""
"AribaBasicPageWrapper",a007,"Logout","ログアウト",""
"AribaBasicPageWrapper",a008,"End delegation session","委任セッションを終了する",""
"AribaBasicPageWrapper",a009,"Preferences","ユーザー設定",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","この製品の使用方法についての情報が必要な場合、任意の製品ページの右上にある {0}[ヘルプ]{/0} をクリックすると、ドキュメントとチュートリアルを入手できます。",""
"AribaLoginForm",a002,"System running in non-production mode","システムは本稼動モード以外のモードで動作しています。",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","2014年第1四半期 - Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9 32ビット","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8 32ビット","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7 32ビット","Supported Browsers"
