KS_C_5601-1987,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","이 페이지로 붙여넣은 내용에 오류가 있습니다. 잘못된 텍스트는 제거되었습니다. 각 항목을 확인하고 다시 제출하십시오.",""
"RichTextAreaScript",a001,"Bold","굵게",""
"RichTextAreaScript",a002,"Italic","기울임꼴",""
"RichTextAreaScript",a003,"Underline","밑줄",""
"RichTextAreaScript",a004,"Ordered List","순서 있는 목록",""
"RichTextAreaScript",a005,"Bulleted List","글머리 기호 목록",""
"RichTextAreaScript",a006,"Font Color","글꼴 색",""
"RichTextAreaScript",a007,"Background Color","배경색",""
"RichTextAreaScript",a008,"size","크기",""
"RichTextAreaScript",a009,"OK","확인",""
"RichTextAreaScript",a010,"Click a color","색 클릭",""
"RichTextAreaScript",a011,"Sample","샘플",""
"RichTextAreaScript",a012,"Color","색상",""
"RichTextAreaScript",a013,"Close","마감",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","편집기 최대화/최소화",""
"RichTextAreaScript",a015,"font","글꼴",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","서식 제거",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","모든 서식을 제거하시겠습니까?",""
