KS_C_5601-1987,,,,
"AWTBatchNavigationBar",1,"item","품목",""
"AWTBatchNavigationBar",2,"items","품목",""
"AWTBatchNavigationBar",a001,"Page","페이지",""
"AWTDataTable",a002,"No items","항목 없음",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","열 표시/숨기기",""
"AWTOptionalColumnsPage",a002,"Column Name","열 이름",""
"AWTOptionsMenuButton",a001,"Table Options Menu","테이블 옵션 메뉴",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","테이블 최소화/최대화",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","열 표시/숨기기",""
"AWTOptionsMenuItems",a002,"Outline Expansion","아웃라인 확장",""
"AWTOptionsMenuItems",a003,"Expand All","모두 확장",""
"AWTOptionsMenuItems",a004,"Collapse All","모두 축소",""
"AWTOptionsMenuItems",a005,"Group by Column","열 기준 그룹화",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","그룹화 확장",""
"AWTOptionsMenuItems",a007,"Collapse All","모두 축소",""
"AWTOptionsMenuItems",a008,"Expand All","모두 확장",""
"AWTOptionsMenuItems",a009,"Export to Excel","Excel로 내보내기",""
"AWTOptionsMenuItems",a010,"Export all Rows","모든 행 내보내기",""
"AWTOptionsMenuItems",a011,"Export Current Page","현재 페이지 내보내기",""
"AWTOptionsMenuItems",a012,"More...","더 보기...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","피벗 테이블 레이아웃",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","정보 행 표시",""
"AWTOptionsMenuItems",a015,"Configure Layout...","레이아웃 구성...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","모든 정보 행 확장",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","모든 정보 행 축소",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","테이블 레이아웃 편집",""
"AWTPivotConfigurationPanel",a002,"Column Fields","열 필드",""
"AWTPivotConfigurationPanel",a003,"Row Fields","행 필드",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","열 속성",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","세부 속성",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","숨겨진 속성",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","축소 보기...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","더 보기...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","데이터 검색 중...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","클릭하면 이 열이 역순으로 정렬됩니다.",""
