KS_C_5601-1987,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. All Rights Reserved.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", Ariba, Inc. 로고 및 ""Ariba.com""은 Ariba의 상표 및/또는 서비스 표입니다. Ariba 상표 및 서비스 표에 대한 추가 정보는 {0}www.ariba.com/legal/trademarks.cfm{/0}을 참조하십시오. 사이트에서 달리 언급되는 경우를 제외하고, 이 사이트에서 사용된 기타 모든 상표, 서비스 표 및 로고는 해당 소유자의 상표, 서비스 표 또는 로고입니다.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","탐색 패널 축소",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","탐색 패널 확장",""
"AribaBasicPageWrapper",a005,"Home","홈",""
"AribaBasicPageWrapper",a006,"Help","도움말",""
"AribaBasicPageWrapper",a007,"Logout","로그아웃",""
"AribaBasicPageWrapper",a008,"End delegation session","위임 세션 종료",""
"AribaBasicPageWrapper",a009,"Preferences","기본설정",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","이 제품의 사용 방법에 관한 도움이 필요하면 모든 제품 페이지의 맨 오른쪽 위에서 {0}도움말{/0}을 클릭하여 문서 및 자습서에 액세스하십시오.",""
"AribaLoginForm",a002,"System running in non-production mode","시스템이 생산 이외의 모드로 실행 중입니다.",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","2014년 1사분기 - Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9 32비트","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8 32비트","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7 32비트","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Chrome 26+","Chrome 26+","Supported Browsers"
"AribaLoginPageWrapper",25,"Mozilla Firefox 17+","Mozilla Firefox 17+","Supported Browsers"
"AribaLoginPageWrapper",26,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",27,"Safari 5","Safari 5","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996 - {0} Ariba Inc. All Rights Reserved",""
"AribaLoginPageWrapper",a003,"Support","지원",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","브라우저/플러그 인 지원","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","지원되는 브라우저","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","지원되는 플러그 인","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","사용 중단 일정","Section Heading"
