Cp1252,,,,
"AWTBatchNavigationBar",1,"item","item",""
"AWTBatchNavigationBar",2,"items","items",""
"AWTBatchNavigationBar",a001,"Page","Pagina",""
"AWTDataTable",a002,"No items","Geen items",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Kolommen weergeven/verbergen",""
"AWTOptionalColumnsPage",a002,"Column Name","Kolomnaam",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu Tabelopties",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Tabel minimaliseren/maximaliseren",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Kolommen weergeven/verbergen",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Overzichtexpansie",""
"AWTOptionsMenuItems",a003,"Expand All","Alles uitvouwen",""
"AWTOptionsMenuItems",a004,"Collapse All","Alles inklappen",""
"AWTOptionsMenuItems",a005,"Group by Column","Groeperen op kolom",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Groeperingsexpansie",""
"AWTOptionsMenuItems",a007,"Collapse All","Alles inklappen",""
"AWTOptionsMenuItems",a008,"Expand All","Alles uitvouwen",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exporteren naar Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Alle rijen exporteren",""
"AWTOptionsMenuItems",a011,"Export Current Page","Huidige pagina exporteren",""
"AWTOptionsMenuItems",a012,"More...","Meer...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","PivotTable-layout",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Detailrijen weergeven",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Layout configureren...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Alle detailrijen uitvouwen",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Alle detailrijen inklappen",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Tabel-layout bewerken",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Kolomvelden",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Rijvelden",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Kolomeigenschappen",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detaileigenschappen",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Verborgen eigenschappen",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Minder...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Meer...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Gegevens worden opgehaald...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Klikken om sorteervolgorde voor deze kolom om te draaien",""
