Cp1252,,,,
"AribaAboutBox",9,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved.","&copy; 1996 - {0} Ariba Inc. Alle rechten voobehouden.",""
"AribaAboutBox",a010,"'Ariba, Inc.', 'Ariba', the Ariba, Inc. logo, and 'Ariba.com' are trademarks and/or service marks of Ariba or Others. For additional information on Ariba trademarks and service marks, please see {0}www.ariba.com/legal/trademarks.cfm{/0}. Unless otherwise noted on the Site, all other trademarks, service marks, and logos used in this Site are the trademarks, service marks or logos of their respective owners.","""Ariba, Inc."", ""Ariba"", het logo van Ariba, Inc. en ""Ariba.com"" zijn handelsmerken en/of dienstmerken van Ariba of andere fabrikanten. Meer informatie over de handelsmerken en dienstmerken van Ariba kunt u vinden op {0}www.ariba.com/legal.cfm{/0}. Alle andere handelsmerken, dienstmerken en logo''s die op deze site worden gebruikt, zijn de handelsmerken, dienstmerken en logo''s van de respectievelijke eigenaren.",""
"AribaBasicPageWrapper",a001,"Collapse the Navigation Panel","Het Navigatievenster inklappen",""
"AribaBasicPageWrapper",a002,"Expand the Navigation Panel","Het Navigatievenster uitvouwen",""
"AribaBasicPageWrapper",a005,"Home","Introductiepagina",""
"AribaBasicPageWrapper",a006,"Help","Help",""
"AribaBasicPageWrapper",a007,"Logout","Afmelden",""
"AribaBasicPageWrapper",a008,"End delegation session","Machtigingsessie beëindigen",""
"AribaBasicPageWrapper",a009,"Preferences","Voorkeuren",""
"AribaContactBox",a001,"If you need help on how to use this product, click {0}Help{/0} at the top right of any product page to access documentation and tutorials.","Als u hulp nodig hebt bij het gebruiken van dit product, klik dan op de knop {0}Help{/0} die u rechts bovenaan elke productpagina vindt en waarmee u toegang krijgt tot documentatie en tutorials.",""
"AribaLoginForm",a002,"System running in non-production mode","Systeem wordt uitgevoerd in niet-productiemodus",""
"AribaLoginPageWrapper",1,"Adobe Flash Player 11","Adobe Flash Player 11","Supported Plugin"
"AribaLoginPageWrapper",2,"Adobe Flash Player 10","Adobe Flash Player 10","Supported Plugin"
"AribaLoginPageWrapper",3,"Adobe Flash Player 9","Adobe Flash Player 9","Supported Plugin"
"AribaLoginPageWrapper",4,"Adobe Flash Player 8","Adobe Flash Player 8","Supported Plugin"
"AribaLoginPageWrapper",5,"Adobe Flash Player 7","Adobe Flash Player 7","Supported Plugin"
"AribaLoginPageWrapper",11,"Q1 2014 - Microsoft Internet Explorer 6","Q1 2014 - Microsoft Internet Explorer 6","Deprecation Schedule"
"AribaLoginPageWrapper",20,"Microsoft Internet Explorer 9 32-bit","Microsoft Internet Explorer 9 32-bits","Supported Browsers"
"AribaLoginPageWrapper",21,"Microsoft Internet Explorer 8 32-bit","Microsoft Internet Explorer 8 32-bits","Supported Browsers"
"AribaLoginPageWrapper",22,"Microsoft Internet Explorer 7 32-bit","Microsoft Internet Explorer 7 32-bits","Supported Browsers"
"AribaLoginPageWrapper",23,"Microsoft Internet Explorer 6","Microsoft Internet Explorer 6","Supported Browsers"
"AribaLoginPageWrapper",24,"Chrome 26+","Chrome 26+","Supported Browsers"
"AribaLoginPageWrapper",25,"Mozilla Firefox 17+","Mozilla Firefox 17+","Supported Browsers"
"AribaLoginPageWrapper",26,"Safari 4","Safari 4","Supported Browsers"
"AribaLoginPageWrapper",27,"Safari 5","Safari 5","Supported Browsers"
"AribaLoginPageWrapper",40,"&copy; 1996 - {0} Ariba Inc. All Rights Reserved","&copy; 1996 - {0} Ariba Inc. Alle rechten voobehouden",""
"AribaLoginPageWrapper",a003,"Support","Ondersteuning",""
"AribaLoginPageWrapper",a004,"Browser/Plug-in Support","Browser/Plug-in ondersteuning","Link on login page"
"AribaLoginPageWrapper",a005,"Supported Browsers","Ondersteunde browsers","Section Heading"
"AribaLoginPageWrapper",a006,"Supported Plug-ins","Ondersteunde plug-ins","Section Heading"
"AribaLoginPageWrapper",a007,"Deprecation Schedule","Verouderingsschema","Section Heading"
"AribaLoginPageWrapper",a008,"OK","OK",""
"AribaNotificationDialog",a001,"Notification","Melding",""
"AribaShutdownWarning",1,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Refresh Session</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Refresh Session</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Attentie:</b> er heeft gepland systeemonderhoud plaatsgevonden aan deze site. U aanmeldsessie moet worden vernieuwd</p><p>Om onmiddellijk te vernieuwen, klikt u op <i>Sessie vernieuwen</i>. <b>Opmerking: u wordt niet afgemeld.</b></p><p>Om een taak te voltooien voordat u vernieuwt, klikt u op <i>Werk afmaken</i>, voltooit u uw taak en klikt u vervolgens op de koppeling <i>Sessie vernieuwen</i> rechts bovenaan de pagina.</p><p>Uw sessie wordt automatisch vernieuwd over {0} minuten.</p>",""
"AribaShutdownWarning",2,"<p><b>Attention:</b> Routine system maintenance has occurred on this site. Your login session must be refreshed.</p><p>To refresh immediately, click <i>Return to Home</i>. <b>Note: you will not be logged out.</b></p><p>To complete a task before refreshing, click <i>Finish Work</i>, complete your task, and then click the <i>Home</i> link on the top-right of the page.</p><p>Your session will be refreshed automatically in {0} minutes.</p>","<p><b>Attentie:</b> er heeft gepland systeemonderhoud plaatsgevonden aan deze site. U aanmeldsessie moet worden vernieuwd</p><p>Om onmiddellijk te vernieuwen, klikt u op <i>Terug naar Home</i>. <b>Opmerking: u wordt niet afgemeld.</b></p><p>Om een taak te voltooien voordat u vernieuwt, klikt u op <i>Werk afmaken</i>, voltooit u uw taak en klikt u vervolgens op de koppeling <i>Home</i> rechts bovenaan de pagina.</p><p>Uw sessie wordt automatisch vernieuwd over {0} minuten.</p>",""
"AribaShutdownWarning",a001,"Re-authentication Request","Verzoek voor hernieuwde verificatie",""
"AribaShutdownWarning",a002,"Finish Work","Werk voltooien",""
"AribaShutdownWarning",a003,"Refresh Session","Sessie vernieuwen",""
"AribaShutdownWarning",a004,"Return To Home","Terug naar Home",""
"Chooser",1,"(none selected)","(geen geselecteerd)",""
"Chooser",2,"{0} more selected...","{0} meer geselecteerd...",""
"Chooser",3,"No match found","Geen resultaat gevonden",""
"Chooser",a001,"Search for more","Zoeken naar meer",""
"Chooser",a002,"Select from the list","Selecteer uit de lijst",""
"Chooser",a003,"Add another selection","Nog een selectie toevoegen",""
"Chooser",a004,"Remove selection","Selectie verwijderen",""
"Chooser",a005,"Multiple selections allowed","Meerdere selecties toegestaan",""
"ChooserPanel",1,"Choose Values","Waarden kiezen",""
"ChooserPanel",2,"Choose Value","Waarde kiezen",""
"ChooserPanel",a002,"Search","Zoeken",""
"ChooserPanel",a003,"Add to Currently Selected","Toevoegen aan Momenteel geselecteerd",""
"ChooserPanel",a004,"Currently Selected","Momenteel geselecteerd",""
"ChooserPanel",a005,"Value","Waarde",""
"ClientPanelWrapper",a001,"OK Button","OK-knop",""
"ClientPanelWrapper",a002,"OK","OK",""
"ClientPanelWrapper",a003,"Cancel Button","Annuleren-knop",""
"ClientPanelWrapper",a004,"Cancel","Annuleren",""
"ClientPanelWrapper",a005,"Done Button","Klaar-knop",""
"ClientPanelWrapper",a006,"Done","Klaar",""
"Confirmation",a001,"Confirm Action","Actie bevestigen",""
"Confirmation",a002,"Are you sure?","Weet u het zeker?",""
"Confirmation",a003,"OK","OK",""
"Confirmation",a004,"Cancel","Annuleren",""
"Confirmation",a005,"Cancel","Annuleren",""
"DateField",1,"Enter date: %s","Datum invoeren: %s","example date format"
"DateField",2,"Enter date: mm/dd/yyyy","Datum invoeren: mm/dd/jjjj","accessibility enabled example date format"
"DateField",3,"Date field is disabled","Datumveld staat uitgeschakeld","accessibility enabled date field disabled message"
"DateField",a001,"Select a date from the calendar","Selecteer een datum op de kalender",""
"DateField",a002,"Calendar is disabled","Kalender staat uitgeschakeld",""
"ErrorFlag",a001,"Error","Fout",""
"ErrorIndicator",a001,"Required Field","Verplicht veld","alt text for required field indicator"
"ErrorIndicator",a002,"Error","Fout","alt text for form input error indicator"
"ErrorIndicator",a003,"Warning","Waarschuwing","alt text for form input warning indicator"
"FileBrowser",a001,"Directory Listing For","Directorylijst voor","title followed by directory path"
"FileBrowser",a002,"Name","Naam",""
"FileBrowser",a003,"Size","Grootte",""
"FileBrowser",a004,"Last Modified","Laatst gewijzigd",""
"FileBrowser",a005,"Open","Openen","Button to open a file or directory"
"FileBrowser",a006,"Select","Selecteren","Button to select a file or directory"
"FileBrowser",a007,"Up To","Tot","Button to go to parent directory"
"FileUploadStatusBar",a001,"Uploading file...","Bestand laden...",""
"FooterLinks",a001,"POWERED BY", "POWERED BY", "powered by Ariba text"
"HintMessage",a001,"* indicates required field","* geeft een verplicht veld aan.",""
"HintMessage",a002,"How to","Procedure",""
"HintMessage",a003,"Screen Details","Schermdetails",""
