Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Innholdet du har limt inn på denne siden inneholder feil. Den ugyldige teksten har blitt fjernet--kontroller oppføringene og send på nytt.",""
"RichTextAreaScript",a001,"Bold","Fet",""
"RichTextAreaScript",a002,"Italic","Kursiv",""
"RichTextAreaScript",a003,"Underline","Understreking",""
"RichTextAreaScript",a004,"Ordered List","Nummerert liste",""
"RichTextAreaScript",a005,"Bulleted List","Punktliste",""
"RichTextAreaScript",a006,"Font Color","Skriftfarge",""
"RichTextAreaScript",a007,"Background Color","Bakgrunnsfarge",""
"RichTextAreaScript",a008,"size","størrelse",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Klikk på en farge",""
"RichTextAreaScript",a011,"Sample","Prøve",""
"RichTextAreaScript",a012,"Color","Farge",""
"RichTextAreaScript",a013,"Close","Lukk",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maksimer/minimer Editor",""
"RichTextAreaScript",a015,"font","skrifttype",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Fjern formatering",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Er du sikker på at du vil fjerne all formatering?",""
