Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","O conteúdo colado nesta página continha erros. O texto inválido foi removido - verifique suas entradas e reenvie.",""
"RichTextAreaScript",a001,"Bold","Negrito",""
"RichTextAreaScript",a002,"Italic","Itálico",""
"RichTextAreaScript",a003,"Underline","Sublinhado",""
"RichTextAreaScript",a004,"Ordered List","Lista ordenada",""
"RichTextAreaScript",a005,"Bulleted List","Lista com marcadores",""
"RichTextAreaScript",a006,"Font Color","Cor da fonte",""
"RichTextAreaScript",a007,"Background Color","Cor de plano de fundo",""
"RichTextAreaScript",a008,"size","tamanho",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Clicar em uma cor",""
"RichTextAreaScript",a011,"Sample","Amostra",""
"RichTextAreaScript",a012,"Color","Cor",""
"RichTextAreaScript",a013,"Close","Fechar",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Maximizar/Minimizar editor",""
"RichTextAreaScript",a015,"font","fonte",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impacto",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Remover formatação",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Tem certeza de que deseja remover toda a formatação?",""
