Cp1252,,,,
"AWTBatchNavigationBar",1,"item","item",""
"AWTBatchNavigationBar",2,"items","itens",""
"AWTBatchNavigationBar",a001,"Page","Página",""
"AWTDataTable",a002,"No items","Sem itens",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Mostrar/Ocultar colunas",""
"AWTOptionalColumnsPage",a002,"Column Name","Nome da coluna",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Menu de opções de tabela",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimizar/Maximizar tabela",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Mostrar/Ocultar colunas",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Especificar expansão",""
"AWTOptionsMenuItems",a003,"Expand All","Expandir tudo",""
"AWTOptionsMenuItems",a004,"Collapse All","Recolher tudo",""
"AWTOptionsMenuItems",a005,"Group by Column","Agrupar por coluna",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Expansão do agrupamento",""
"AWTOptionsMenuItems",a007,"Collapse All","Recolher tudo",""
"AWTOptionsMenuItems",a008,"Expand All","Expandir tudo",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exportar para o Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Exportar todas as linhas",""
"AWTOptionsMenuItems",a011,"Export Current Page","Exportar página atual",""
"AWTOptionsMenuItems",a012,"More...","Mais...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Layout da tabela dinâmica",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Mostrar linhas detalhadas",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Configurar layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Expandir todas as linhas detalhadas",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Recolher todas as linhas detalhadas",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Editar layout da tabela",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Campos de coluna",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Campos de linha",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Atributos de coluna",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Atributos detalhados",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Atributos ocultos",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Menos...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Mais...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Recuperando dados...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Clique para reverter a ordem de classificação desta coluna",""
