Cp1252,,,,
"AWTBatchNavigationBar",1,"item","artikel",""
"AWTBatchNavigationBar",2,"items","artiklar",""
"AWTBatchNavigationBar",a001,"Page","Sida",""
"AWTDataTable",a002,"No items","Inga poster",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","Visa/dölj kolumner",""
"AWTOptionalColumnsPage",a002,"Column Name","Kolumnnamn",""
"AWTOptionsMenuButton",a001,"Table Options Menu","Tabellalternativ-meny",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","Minimera/Maximera tabell",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","Visa/dölj kolumner",""
"AWTOptionsMenuItems",a002,"Outline Expansion","Dispositionsutökning",""
"AWTOptionsMenuItems",a003,"Expand All","Utöka alla",""
"AWTOptionsMenuItems",a004,"Collapse All","Komprimera alla",""
"AWTOptionsMenuItems",a005,"Group by Column","Gruppera efter kolumn",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","Grupperingsutökning",""
"AWTOptionsMenuItems",a007,"Collapse All","Komprimera alla",""
"AWTOptionsMenuItems",a008,"Expand All","Utöka alla",""
"AWTOptionsMenuItems",a009,"Export to Excel","Exportera till Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","Exportera alla rader",""
"AWTOptionsMenuItems",a011,"Export Current Page","Exportera aktuell sida",""
"AWTOptionsMenuItems",a012,"More...","Mer...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","Pivottabellslayout",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","Visa detaljrader",""
"AWTOptionsMenuItems",a015,"Configure Layout...","Konfigurera layout...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","Utöka alla detaljrader",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","Komprimera alla detaljrader",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","Redigera tabellayout",""
"AWTPivotConfigurationPanel",a002,"Column Fields","Kolumnfält",""
"AWTPivotConfigurationPanel",a003,"Row Fields","Radfält",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","Kolumnattribut",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","Detaljattribut",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","Dolda attribut",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","Mindre...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","Mer...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","Hämtar data...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","Klicka om du vill byta sorteringsordning i kolumnen",""
