GB2312,,,,
"AWTBatchNavigationBar",1,"item","项目",""
"AWTBatchNavigationBar",2,"items","项目",""
"AWTBatchNavigationBar",a001,"Page","页",""
"AWTDataTable",a002,"No items","无项目",""
"AWTOptionalColumnsPage",a001,"Show / Hide Columns","显示 / 隐藏列",""
"AWTOptionalColumnsPage",a002,"Column Name","列名",""
"AWTOptionsMenuButton",a001,"Table Options Menu","表格选项菜单",""
"AWTOptionsMenuButton",a002,"Minimize / Maximize table","最小化 / 最大化表格",""
"AWTOptionsMenuItems",a001,"Show / Hide Columns","显示 / 隐藏列",""
"AWTOptionsMenuItems",a002,"Outline Expansion","展开提纲",""
"AWTOptionsMenuItems",a003,"Expand All","全部展开",""
"AWTOptionsMenuItems",a004,"Collapse All","全部折叠",""
"AWTOptionsMenuItems",a005,"Group by Column","按列分组",""
"AWTOptionsMenuItems",a006,"Grouping Expansion","展开分组",""
"AWTOptionsMenuItems",a007,"Collapse All","全部折叠",""
"AWTOptionsMenuItems",a008,"Expand All","全部展开",""
"AWTOptionsMenuItems",a009,"Export to Excel","导出到 Excel",""
"AWTOptionsMenuItems",a010,"Export all Rows","导出所有行",""
"AWTOptionsMenuItems",a011,"Export Current Page","导出当前页",""
"AWTOptionsMenuItems",a012,"More...","更多...",""
"AWTOptionsMenuItems",a013,"Pivot Table Layout","透视表布局",""
"AWTOptionsMenuItems",a014,"Show Detail Rows","显示详细信息行",""
"AWTOptionsMenuItems",a015,"Configure Layout...","配置布局...",""
"AWTOptionsMenuItems",a016,"Expand All Detail Rows","展开所有明细行",""
"AWTOptionsMenuItems",a017,"Collapse All Detail Rows","折叠所有明细行",""
"AWTPivotConfigurationPanel",a001,"Edit Table Layout","编辑表格布局",""
"AWTPivotConfigurationPanel",a002,"Column Fields","列字段",""
"AWTPivotConfigurationPanel",a003,"Row Fields","行字段",""
"AWTPivotConfigurationPanel",a004,"Column Attributes","列属性",""
"AWTPivotConfigurationPanel",a005,"Detail Attributes","详细信息属性",""
"AWTPivotConfigurationPanel",a006,"Hidden Attributes","隐藏属性",""
"AWTRowAttributeExpandoColumnRenderer",a001,"Less...","精简视图...",""
"AWTRowAttributeExpandoColumnRenderer",a002,"More...","更多...",""
"AWTScrollTableWrapper",a001,"Retrieving data...","检索数据...",""
"AWTSortHeading",a001,"Click to reverse the sorting order for this column","单击此处可按相反顺序将此列排序",""
