Cp1252
"Application",a001,"Home","Startseite",""
"Application",a002,"Data Tables","Datentabellen",""
"Application",a003,"Welcome to AribaWeb!","Willkommen bei AribaWeb!",""
"Application",a004,"Actions","Aktionen",""
"Application",a005,"Documentation","Dokumentation",""
"Application",a006,"Pivot Tables","Pivot-Tabellen",""
"Application",a007,"Forms","Formulare",""
"Application",a008,"Mini App","Mini-Anwendungen",""
"Application",a009,"Favorites","Favoriten",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> ist ein komponentenbasiertes Open Source-Framework zur Entwicklung von Webanwendungen für die Erstellung von AJAX-basierten Anwendungen mit einem absoluten Minimum an Code (und ohne manuell codiertes Javascript).</b> Die AribaWeb-Software enthält sowohl das (relativ) einfache Framework für grundlegende Funktionen und Anforderungsverarbeitung (ariba.aribaweb) als auch eine komplexe Sammlung von Benutzeroberflächenkomponenten (ariba.widgets, ariba.metaui, usw.)",""
"HomeContent",a002,"The Demo Application","Die Demo-Anwendung",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","Dieses Demo zeigt einige der in AribaWeb integrierten Widgets. Klicken Sie auf die Registerkarten und lesen Sie die Informationen zu <b>{0}Datentabellen{/0}</b>, <b>{1}Pivot-Tabellen{/1}</b>, <b>{2}Formularen{/2}</b> (aus Vorlagen abgeleitete und aus Metadaten entwickelte). Außerdem wird eine eher komplexe <b>{3}Mini-Anwendung{/3}</b> (für die Simulation von Spesenabrechnungen) gezeigt, in der die auf den anderen Registerkarten beschriebenen Elemente eingesetzt werden.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","Klicken Sie auf den Link <b>AW Options</b> am oberen Rand der Seite, und in dem dann angezeigten Dialogfeld auf <b>Show Component Inspector</b>.",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>Quellen durchsuchen</h2> Auf der Registerkarte <b>{0}Dokumentation{/0}</b> können Sie die AribaWeb-Dokumentation und den Quellcode durchsuchen.",""
"Toc",a001,"Browse","Durchsuchen",""
"Toc",a002,"Documentation","Dokumentation",""
"Toc",a003,"Component Inspector","Component Inspector",""
"Toc",a004,"Gallery","Galerie",""
"Toc",a005,"Data Tables","Datentabellen",""
"Toc",a006,"Pivot Tables","Pivot-Tabellen",""
"Toc",a007,"Forms (MetaUI)","Formulare (Meta-Benutzeroberfläche)",""
"Toc",a008,"File Upload","Dateien heraufladen",""
"Toc",a009,"Fun","Spaß",""
"Toc",a010,"Master Detail app","Master-Detail-Anwendungen",""
"Toc",a011,"YouTube Browser","YouTube-Browser",""
"Toc",a012,"Charts","Diagramme",""
"Toc",a013,"Maps","Karten",""
"Toc",a014,"Mail Reader","Mails lesen",""
"Toc",a015,"Map Race","Kartenrennen",""
"Toc",a016,"Tests","Tests",""
"Toc",a017,"Refresh Region Test","""Refresh Region""-Test",""
