Cp1252
"DetailViewer",a001,"Date","Data",""
"DetailViewer",a002,"Amount","Importo",""
"DetailViewer",a003,"Attendees","Partecipanti",""
"DetailViewer",a004,"Accounting","Contabilità",""
"DetailViewer",a005,"Itemize","Dettaglio voci",""
"ERPage",a001,"Expense Items","Voci di spesa",""
"ERPage",a002,"Date","Data",""
"ERPage",a003,"Type!","Tipo",""
"ERPage",a004,"Amount","Importo",""
"ERPage",a005,"Expense Items","Voci di spesa",""
"ERPage",a006,"Charges","Spese",""
"ERPage",a007,"Date","Data",""
"ERPage",a008,"Type!","Tipo",""
"ERPage",a009,"Amount","Importo",""
"ERPage",a010,"A side-by-side master-detail layout with type-specific detail panels!","Layout con riquadri affiancati di tipo master-detail e pannelli dei dettagli specifici del tipo",""
"ERPage",a011,"Delete","Elimina",""
"ERPage",a012,"Add New Item","Aggiungi nuova voce",""
"ERPage",a013,"Big Panel","Pannello grande",""
"ERPage",a014,"Long Running Action","Azione con esecuzione prolungata",""
"ERPage",a015,"Secure Action","Azione sicura",""
"ERPage",a016,"Create New Expense","Crea nuova spesa",""
"ERPage",a017,"Hotel","Hotel",""
"ERPage",a018,"Meal","Pasto",""
"ERPage",a019,"Save","Salva",""
"ERPage",a020,"Add Expense Line","Aggiungi voce di spesa",""
"ERPage",a021,"Add Charge","Aggiungi spesa",""
"ERPage",a022,"Sample Long Running Operation Alert!","Avviso di esempio relativo a un'operazione con esecuzione prolungata",""
"ERPage",a023,"Are you sure that you want to do this? This will take > 30 seconds!","Continuare? L'operazione richiederà più di 30 secondi.",""
"SimpleViewer",a001,"Amount","Importo",""
"SimpleViewer",a002,"Popup","Popup",""
"SimpleViewer",a003,"Comments","Commenti",""
"UserListEditorControl",a001,"(More...)","(Continua...)",""
"UserListEditorControl",a002,"(None)","(Nessuno)",""
"UserListEditorControl",a003,"Edit","Modifica",""
"UserListEditorPanel",a001,"Edit User List (ClientWrapper)","Modifica elenco utenti (ClientWrapper)",""
"UserListEditorPanel",a002,"Name","Nome",""
"UserListEditorPanel",a003,"Title","Qualifica",""
"UserListEditorPanel",a004,"Company","Società",""
"UserListEditorPanel",a005,"Date","Data",""
"UserListEditorPanel",a006,"Sample Popup","Esempio popup",""
"UserListEditorPanel",a007,"Add","Aggiungi",""
"UserListEditorPanel",a008,"Mass Add","Aggiungi in blocco",""
"UserListEditorPanel",a009,"Menu Here...","Inserire menu...",""
"UserListEditorPanel",a010,"Item","Voce",""
"UserListEditorPanel",a011,"Item","Voce",""
"UserListEditorPanel",a012,"Item","Voce",""
