Cp1252
"DetailViewer",a001,"Date","Datum",""
"DetailViewer",a002,"Amount","Hoeveelheid",""
"DetailViewer",a003,"Attendees","Aanwezigen",""
"DetailViewer",a004,"Accounting","Boekhouding",""
"DetailViewer",a005,"Itemize","Specificeren",""
"ERPage",a001,"Expense Items","Onkosten-items",""
"ERPage",a002,"Date","Datum",""
"ERPage",a003,"Type!","Type!",""
"ERPage",a004,"Amount","Hoeveelheid",""
"ERPage",a005,"Expense Items","Onkosten-items",""
"ERPage",a006,"Charges","Onkosten",""
"ERPage",a007,"Date","Datum",""
"ERPage",a008,"Type!","Type!",""
"ERPage",a009,"Amount","Hoeveelheid",""
"ERPage",a010,"A side-by-side master-detail layout with type-specific detail panels!","Een parallelle master-detail layout met type-specifieke detailschermen!",""
"ERPage",a011,"Delete","Verwijderen",""
"ERPage",a012,"Add New Item","Nieuw item toevoegen",""
"ERPage",a013,"Big Panel","Groot scherm",""
"ERPage",a014,"Long Running Action","Langdurige actie",""
"ERPage",a015,"Secure Action","Actie vastleggen",""
"ERPage",a016,"Create New Expense","Nieuwe onkosten aanmaken",""
"ERPage",a017,"Hotel","Hotel",""
"ERPage",a018,"Meal","Maaltijd",""
"ERPage",a019,"Save","Opslaan",""
"ERPage",a020,"Add Expense Line","Onkostenregel toevoegen",""
"ERPage",a021,"Add Charge","Onkosten toevoegen",""
"ERPage",a022,"Sample Long Running Operation Alert!","Voorbeeld waarschuwing langdurige operatie!",""
"ERPage",a023,"Are you sure that you want to do this? This will take > 30 seconds!","Weet u zeker dat u dit wilt doen? Dit duurt > 30 seconden!",""
"SimpleViewer",a001,"Amount","Hoeveelheid",""
"SimpleViewer",a002,"Popup","Pop-up",""
"SimpleViewer",a003,"Comments","Opmerkingen",""
"UserListEditorControl",a001,"(More...)","(meer...)",""
"UserListEditorControl",a002,"(None)","(geen)",""
"UserListEditorControl",a003,"Edit","Bewerken",""
"UserListEditorPanel",a001,"Edit User List (ClientWrapper)","Lijst met gebruikers bewerken (ClientWrapper)",""
"UserListEditorPanel",a002,"Name","Naam",""
"UserListEditorPanel",a003,"Title","Functie",""
"UserListEditorPanel",a004,"Company","Bedrijf",""
"UserListEditorPanel",a005,"Date","Datum",""
"UserListEditorPanel",a006,"Sample Popup","Voorbeeld pop-up",""
"UserListEditorPanel",a007,"Add","Toevoegen",""
"UserListEditorPanel",a008,"Mass Add","Alles toevoegen",""
"UserListEditorPanel",a009,"Menu Here...","Menu hier...",""
"UserListEditorPanel",a010,"Item","Item",""
"UserListEditorPanel",a011,"Item","Item",""
"UserListEditorPanel",a012,"Item","Item",""
