Cp1251
"Application",a001,"Home","Главная",""
"Application",a002,"Data Tables","Таблицы данных",""
"Application",a003,"Welcome to AribaWeb!","Добро пожаловать на AribaWeb!",""
"Application",a004,"Actions","Действия",""
"Application",a005,"Documentation","Документация",""
"Application",a006,"Pivot Tables","Сводные таблицы",""
"Application",a007,"Forms","Формы",""
"Application",a008,"Mini App","Мини-приложение",""
"Application",a009,"Favorites","Избранное",""
"HomeContent",a001,"<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> is the Open Source component-based web application development framework for creating rich, AJAX-enabled applications with the absolute minimum of code (and no hand-coded Javascript).</b> The AW distribution includes both the (relatively) low-level core rendering and request handling framework (ariba.aribaweb) as well as a higher level library of ui components (ariba.widgets, ariba.metaui, ...)","<b><a href=""http://aribaweb.org"" target=""_blank"">AribaWeb</a> - это открытая среда разработки веб-приложений с компонентной структурой, с помощью которой можно создавать многофункциональные приложения, использующие AJAX, с минимальным написанием кода (и без ручного написания сценариев Javascript).</b> В дистрибутив AW входят как возможности (относительно) низкоуровневого рендеринга и среда обработки запросов (ariba.aribaweb), так и библиотеки более высокого уровня, содержащие компоненты пользовательского интерфейса (ariba.widgets, ariba.metaui, ...)",""
"HomeContent",a002,"The Demo Application","Демо-приложение",""
"HomeContent",a003,"This application shows off some of AW's bundled widgets. Click across the tabs at the top and explore <b>{0}Data Tables{/0}</b>, <b>{1}Pivot Tables{/1}</b>, <b>{2}Data Forms{/2}</b> (of both the template-specified and meta-data derived varieties), and a more complex <b>{3}Mini App{/3}</b> (simulated Expense Report editor) that pulls some of this together.","Это приложение демонстрирует некоторые виджеты AW. С помощью вкладок, расположенных сверху, можно поближе познакомиться с <b>{0}Таблицами данных{/0}</b>, <b>{1}Сводными таблицами{/1}</b>, <b>{2}Формами{/2}</b> (созданными как по шаблонам, так и с использованием метаданных), а также с более сложным <b>{3}Мини-приложением{/3}</b> (моделирующее редактор отчетов о расходах), которое продемонстрирует работу приложения в целом.",""
"HomeContent",a004,"Try selecting <b>Component Inspector</b> from the <b>AW Options</b> link above...","Выберите <b>Инспектор компонентов</b>, щелкнув выше ссылку <b>Параметры AW</b>...",""
"HomeContent",a005,"<h2>Source Search</h2> Check out the <b>{0}Documentation{/0}</b> tab for to search or browse the AribaWeb documentation and source code.","<h2>Поиск</h2> На вкладке <b>{0}Документация{/0}</b> Вы сможете просмотреть документацию и исходный код AribaWeb, а также воспользоваться поиском.",""
"Toc",a001,"Browse","Обзор",""
"Toc",a002,"Documentation","Документация",""
"Toc",a003,"Component Inspector","Инспектор компонентов",""
"Toc",a004,"Gallery","Галерея",""
"Toc",a005,"Data Tables","Таблицы данных",""
"Toc",a006,"Pivot Tables","Сводные таблицы",""
"Toc",a007,"Forms (MetaUI)","Формы (MetaUI)",""
"Toc",a008,"File Upload","Загрузка файла",""
"Toc",a009,"Fun","Развлечения",""
"Toc",a010,"Master Detail app","Основные сведения",""
"Toc",a011,"YouTube Browser","Обозреватель YouTube",""
"Toc",a012,"Charts","Диаграммы",""
"Toc",a013,"Maps","Карты",""
"Toc",a014,"Mail Reader","Почта",""
"Toc",a015,"Map Race","Маршрут",""
"Toc",a016,"Tests","Тесты",""
"Toc",a017,"Refresh Region Test","Обновить тест региона",""
