Cp1252
"Category",Category,"Category","Category",""
"Category",defaultOwner,"Default Owner","Default Owner",""
"Category",name,"Name","Name",""
"Issue",Issue,"Issue","Issue",""
"Issue",category,"Category","Category",""
"Issue",notes,"Notes","Notes",""
"Issue",owner,"Owner","Owner",""
"Issue",priority,"Priority","Priority",""
"Issue",status,"Status","Status",""
"Issue",title,"Title","Title",""
"Note",Note,"Note","Note",""
"Note",date,"Date","Date",""
"Note",description,"Description","Description",""
"Note",from,"From","From",""
"Note",subject,"Subject","Subject",""
