Cp1252
"Global",Global,"Global","Global",""
"Global",lastModified,"Last Modified","Last Modified",""
"Global",longValue,"Long Value","Long Value",""
"Global",stringValue,"String Value","String Value",""
"Group",Group,"Group","Group",""
"Group",id,"Id","Id",""
"Group",memberOf,"Member Of","Member Of",""
"Group",name,"Name","Name",""
"Group",permissions,"Permissions","Permissions",""
"Initialization",1,"AribaWeb Demonstration","AribaWeb Demonstration",""
"Initialization",2,"Sign in","Sign in",""
"Initialization",3,"Welcome %s","Welcome %s",""
"Initialization",4,"(Not logged in)","(Not logged in)",""
"Initialization",5,"Home","Home",""
"Initialization",6,"Logout","Logout",""
"Initialization",7,"Logout","Logout",""
"Initialization",8,"Preferences","Preferences",""
"Permission",Permission,"Permission","Permission",""
"Permission",id,"Id","Id",""
"Permission",name,"Name","Name",""
"Principal",Principal,"Principal","Principal",""
"Principal",id,"Id","Id",""
"Principal",memberOf,"Member Of","Member Of",""
"Principal",name,"Name","Name",""
"Principal",permissions,"Permissions","Permissions",""
"User",User,"User","User",""
"User",email,"Email","Email",""
"User",id,"Id","Id",""
"User",memberOf,"Member Of","Member Of",""
"User",name,"Name","Name",""
"User",password,"Password","Password",""
"User",permissions,"Permissions","Permissions",""
"User",userName,"User Name","User Name",""
