Cp1252
"MetaActionList",a001,"Actions","Aktionen",""
"MetaActionList",a002,"Actions","Aktionen",""
"MetaDashboardLayout",a001,"Dashboard","Dashboard",""
"MetaNavCommandBar",a001,"Return to Home","Zurück zur Startseite",""
"MetaNavCommandBar",a004,"Home","Startseite",""
"MetaNavCommandBar",a005,"More...","Mehr...",""
"MetaRange",a001,"to","bis",""
"MetaRange",a002,"to","bis",""
"MetaSearchForm",a001,"Search","Suchen",""
"MetaSearchForm",a002,"Options","Optionen",""
"MetaSearchForm",a003,"Keyword Search","Schlüsselwortsuche",""
"MetaSearchForm",a004,"Advanced Search","Erweiterte Suche",""
"MetaSearchForm",a005,"Structured Search","Strukturierte Suche",""
"WidgetsRules",a001,"General","Allgemein",""
"WidgetsRules",a002,"No item selected","Nichts ausgewählt",""
