Cp1252
"MetaActionList",a001,"Actions","Actions",""
"MetaActionList",a002,"Actions","Actions",""
"MetaDashboardLayout",a001,"Dashboard","Dashboard",""
"MetaNavCommandBar",a001,"Return to Home","Return to Home",""
"MetaNavCommandBar",a004,"Home","Home",""
"MetaNavCommandBar",a005,"More...","More...",""
"MetaRange",a001,"to","to",""
"MetaRange",a002,"to","to",""
"MetaSearchForm",a001,"Search","Search",""
"MetaSearchForm",a002,"Options","Options",""
"MetaSearchForm",a003,"Keyword Search","Keyword Search",""
"MetaSearchForm",a004,"Advanced Search","Advanced Search",""
"MetaSearchForm",a005,"Structured Search","Structured Search",""
"WidgetsRules",a001,"General","General",""
"WidgetsRules",a002,"No item selected","No item selected",""
