Cp1252
"MetaActionList",a001,"Actions","Acciones",""
"MetaActionList",a002,"Actions","Acciones",""
"MetaDashboardLayout",a001,"Dashboard","Panel de instrucciones",""
"MetaNavCommandBar",a001,"Return to Home","Volver a inicio",""
"MetaNavCommandBar",a004,"Home","Inicio",""
"MetaNavCommandBar",a005,"More...","Más...",""
"MetaRange",a001,"to","a",""
"MetaRange",a002,"to","a",""
"MetaSearchForm",a001,"Search","Búsqueda",""
"MetaSearchForm",a002,"Options","Opciones",""
"MetaSearchForm",a003,"Keyword Search","Búsqueda palabra clave",""
"MetaSearchForm",a004,"Advanced Search","Búsqueda avanzada",""
"MetaSearchForm",a005,"Structured Search","Búsqueda estructurada",""
"WidgetsRules",a001,"General","General",""
"WidgetsRules",a002,"No item selected","No se ha seleccionado artículo",""
