Cp1252
"MetaInspectorPane",a001,"Property","Proprietà",""
"MetaInspectorPane",a002,"Value","Valore",""
"MetaInspectorPane",a003,"Property Key","Chiave proprietà",""
"MetaInspectorPane",a004,"Parent Context","Contesto superiore",""
"MetaInspectorPane",a005,"Edit","Modifica",""
"MetaInspectorPane",a006,"Add Rule","Aggiungi regola",""
"MetaInspectorPane",a007,"Save","Salva",""
"MetaInspectorPane",a008,"Add Property","Aggiungi proprietà",""
"MetaInspectorPane",a009,"Edit Property","Modifica proprietà",""
"MetaInspectorPane",a010,"Other...","Altro...",""
"MetaInspectorPane",a011,"Rule Selectors","Selezione regole",""
"MetaNavEditorMenu",a001,"Editing","Modifica",""
"MetaNavEditorMenu",a002,"Editor","Editor",""
"MetaNavEditorMenu",a003,"Metadata Editor","Editor metadati",""
"MetaNavEditorMenu",a004,"Disable Editing","Disattiva modifica",""
"MetaNavEditorMenu",a005,"Save Changes","Salva modifiche",""
"MetaNavEditorMenu",a006,"Enable Editing","Attiva modifica",""
