Shift_JIS
"MetaInspectorPane",a001,"Property","プロパティ",""
"MetaInspectorPane",a002,"Value","値",""
"MetaInspectorPane",a003,"Property Key","プロパティキー",""
"MetaInspectorPane",a004,"Parent Context","親コンテキスト",""
"MetaInspectorPane",a005,"Edit","編集",""
"MetaInspectorPane",a006,"Add Rule","ルールの追加",""
"MetaInspectorPane",a007,"Save","保存",""
"MetaInspectorPane",a008,"Add Property","プロパティの追加",""
"MetaInspectorPane",a009,"Edit Property","プロパティの編集",""
"MetaInspectorPane",a010,"Other...","その他...",""
"MetaInspectorPane",a011,"Rule Selectors","ルール選択ツール",""
"MetaNavEditorMenu",a001,"Editing","編集中",""
"MetaNavEditorMenu",a002,"Editor","エディタ",""
"MetaNavEditorMenu",a003,"Metadata Editor","メタデータエディタ",""
"MetaNavEditorMenu",a004,"Disable Editing","編集不可とする",""
"MetaNavEditorMenu",a005,"Save Changes","変更の保存",""
"MetaNavEditorMenu",a006,"Enable Editing","編集可能とする",""
