Cp1252
"MetaInspectorPane",a001,"Property","Eigenschap",""
"MetaInspectorPane",a002,"Value","Waarde",""
"MetaInspectorPane",a003,"Property Key","Eigenschap sleutel",""
"MetaInspectorPane",a004,"Parent Context","Bovenliggende context",""
"MetaInspectorPane",a005,"Edit","Bewerken",""
"MetaInspectorPane",a006,"Add Rule","Regel toevoegen",""
"MetaInspectorPane",a007,"Save","Opslaan",""
"MetaInspectorPane",a008,"Add Property","Eigenschap toevoegen",""
"MetaInspectorPane",a009,"Edit Property","Eigenschap bewerken",""
"MetaInspectorPane",a010,"Other...","Overig...",""
"MetaInspectorPane",a011,"Rule Selectors","Regelselectors",""
"MetaNavEditorMenu",a001,"Editing","Bewerken",""
"MetaNavEditorMenu",a002,"Editor","Editor",""
"MetaNavEditorMenu",a003,"Metadata Editor","Metadata editor",""
"MetaNavEditorMenu",a004,"Disable Editing","Bewerken uitschakelen",""
"MetaNavEditorMenu",a005,"Save Changes","Wijzigingen opslaan",""
"MetaNavEditorMenu",a006,"Enable Editing","Bewerken inschakelen",""
