Cp1251
"MetaActionList",a001,"Actions","Действия",""
"MetaActionList",a002,"Actions","Действия",""
"MetaDashboardLayout",a001,"Dashboard","Панель управления",""
"MetaNavCommandBar",a001,"Return to Home","На главную",""
"MetaNavCommandBar",a004,"Home","Главная",""
"MetaNavCommandBar",a005,"More...","Еще...",""
"MetaRange",a001,"to","по",""
"MetaRange",a002,"to","до",""
"MetaSearchForm",a001,"Search","Поиск",""
"MetaSearchForm",a002,"Options","Параметры",""
"MetaSearchForm",a003,"Keyword Search","Поиск по ключевым словам",""
"MetaSearchForm",a004,"Advanced Search","Расширенный поиск",""
"MetaSearchForm",a005,"Structured Search","Структурированный поиск",""
"WidgetsRules",a001,"General","Общее",""
"WidgetsRules",a002,"No item selected","Элемент не выбран",""
