Cp1252
"MetaInspectorPane",a001,"Property","Egenskap",""
"MetaInspectorPane",a002,"Value","Värde",""
"MetaInspectorPane",a003,"Property Key","Egenskapsnyckel",""
"MetaInspectorPane",a004,"Parent Context","Överordnad kontext",""
"MetaInspectorPane",a005,"Edit","Redigera",""
"MetaInspectorPane",a006,"Add Rule","Lägg till regel",""
"MetaInspectorPane",a007,"Save","Spara",""
"MetaInspectorPane",a008,"Add Property","Lägg till egenskap",""
"MetaInspectorPane",a009,"Edit Property","Redigera egenskap",""
"MetaInspectorPane",a010,"Other...","Annat...",""
"MetaInspectorPane",a011,"Rule Selectors","Regelväljare",""
"MetaNavEditorMenu",a001,"Editing","Redigering",""
"MetaNavEditorMenu",a002,"Editor","Redigeringsprogram",""
"MetaNavEditorMenu",a003,"Metadata Editor","Metadata-redigeringsprogram",""
"MetaNavEditorMenu",a004,"Disable Editing","Inaktivera redigering",""
"MetaNavEditorMenu",a005,"Save Changes","Spara ändringarna",""
"MetaNavEditorMenu",a006,"Enable Editing","Aktivera redigering",""
