GB2312
"MetaInspectorPane",a001,"Property","属性",""
"MetaInspectorPane",a002,"Value","值",""
"MetaInspectorPane",a003,"Property Key","属性键",""
"MetaInspectorPane",a004,"Parent Context","父上下文",""
"MetaInspectorPane",a005,"Edit","编辑",""
"MetaInspectorPane",a006,"Add Rule","添加规则",""
"MetaInspectorPane",a007,"Save","保存",""
"MetaInspectorPane",a008,"Add Property","添加属性",""
"MetaInspectorPane",a009,"Edit Property","编辑属性",""
"MetaInspectorPane",a010,"Other...","其他...",""
"MetaInspectorPane",a011,"Rule Selectors","规则选项器",""
"MetaNavEditorMenu",a001,"Editing","编辑",""
"MetaNavEditorMenu",a002,"Editor","编辑器",""
"MetaNavEditorMenu",a003,"Metadata Editor","元数据编辑器",""
"MetaNavEditorMenu",a004,"Disable Editing","禁用编辑",""
"MetaNavEditorMenu",a005,"Save Changes","保存更改",""
"MetaNavEditorMenu",a006,"Enable Editing","启用编辑",""
