GB2312
"MetaActionList",a001,"Actions","操作",""
"MetaActionList",a002,"Actions","操作",""
"MetaDashboardLayout",a001,"Dashboard","仪表板",""
"MetaNavCommandBar",a001,"Return to Home","返回主页",""
"MetaNavCommandBar",a004,"Home","主页",""
"MetaNavCommandBar",a005,"More...","(更多...)",""
"MetaRange",a001,"to","至",""
"MetaRange",a002,"to","至",""
"MetaSearchForm",a001,"Search","搜索",""
"MetaSearchForm",a002,"Options","选项",""
"MetaSearchForm",a003,"Keyword Search","关键字搜索",""
"MetaSearchForm",a004,"Advanced Search","高级搜索",""
"MetaSearchForm",a005,"Structured Search","结构搜索",""
"WidgetsRules",a001,"General","常规",""
"WidgetsRules",a002,"No item selected","未选择项",""
