Big5
"MetaInspectorPane",a001,"Property","屬性",""
"MetaInspectorPane",a002,"Value","值",""
"MetaInspectorPane",a003,"Property Key","屬性鍵",""
"MetaInspectorPane",a004,"Parent Context","父內容",""
"MetaInspectorPane",a005,"Edit","編輯",""
"MetaInspectorPane",a006,"Add Rule","新增規則",""
"MetaInspectorPane",a007,"Save","儲存",""
"MetaInspectorPane",a008,"Add Property","新增屬性",""
"MetaInspectorPane",a009,"Edit Property","編輯屬性",""
"MetaInspectorPane",a010,"Other...","其他...",""
"MetaInspectorPane",a011,"Rule Selectors","規則選取器",""
"MetaNavEditorMenu",a001,"Editing","編輯",""
"MetaNavEditorMenu",a002,"Editor","編輯器",""
"MetaNavEditorMenu",a003,"Metadata Editor","中繼資料編輯器",""
"MetaNavEditorMenu",a004,"Disable Editing","停用編輯",""
"MetaNavEditorMenu",a005,"Save Changes","儲存變更",""
"MetaNavEditorMenu",a006,"Enable Editing","啟用編輯",""
