Cp1252,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"Skabelon-parserfejl","Page title for the error message; "
TemplateParserTitle,"Skabelon-parserfejl","Title for the template parser error; "
FileErrorMsg,"Skabelon-parser: Filefejl: skabelonfilen eksisterer ikke eller kan ikke læses.","Invalid template name encountered; "
IOErrorMsg,"Skabelon-parser: IO-fejl: der opstod en fejl under læsning af skabelonfilen.","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"d","abbreviation for day; "
HourAbbrev,"t","abbreviation for hours; "
MinutesAbbrev,"min","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"Ja","This is used from BooleanFormatter; "
BooleanFalse,"Nej","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"Booleske udtryk skal være ""sand"" eller ""falsk""","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"""{0}"" er ikke et gyldigt tal","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"{0} er ikke en gyldig dato","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"Ugyldigt tegn i nummer","error when there is a non-numeric character in a number"
InvalidYear,"Ugyldigt år","error when the year is invalid in a date"
NoDigitsFound,"Numerisk værdi krævet","error when a number is required and no digits are entered"
NumberFormatError,"Den numeriske værdi er ikke i det rigtige format.","friendly error msg for NumberFormatException"
MaxValueExceeded,"Værdi ""{0}"" er større end den maksimalt tilladte værdi ""{1}"".", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"Værdi ""{0}"" er mindre end den minimalt tilladte værdi ""{1}"".", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"Værdi ""{0}"" skal være et helt tal.", "Error when integer value contains fractions"

