Cp1252,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
TemplateParserPageTitle,"Vorlagen-Parserfehler","Page title for the error message; "
TemplateParserTitle,"Vorlagen-Parserfehler","Title for the template parser error; "
FileErrorMsg,"Vorlagen-Parser: Dateifehler: Die Vorlagendatei ist nicht vorhanden oder kann nicht gelesen werden.","Invalid template name encountered; "
IOErrorMsg,"Vorlagen-Parser: E-/A-Fehler: Beim Lesen der Vorlagendatei ist ein Fehler aufgetreten.","Error while trying to read template file; IO stands for Input / Output; "
,,
BlockoutChar,"X","default blockout character for SecureStringFormatter; Do we have to translate this ?; "
,,
,,
,,
,,
,,
ListSeparator,", ","used to delimit a series of strings when presented "
DayAbbrev,"T","abbreviation for day; "
HourAbbrev,"Std","abbreviation for hours; "
MinutesAbbrev,"Min","abbreviation for minutes; "
,,
,, keys used in formatters
,,
BooleanTrue,"Ja","This is used from BooleanFormatter; "
BooleanFalse,"Nein","This is used from BooleanFormatter; "
BooleanTrueOrFalse,"Boolesche Werte müssen entweder ""wahr"" oder ""falsch"" sein.","error when a boolean doesn't contain true or false string"
CannotParseBigDecimal,"""{0}"" ist keine gültige Zahl.","error when a big decimal cannot be parsed - 0: the big decimal string"
CannotParseDate,"""{0}"" ist kein gültiges Datum.","error when a date cannot be parsed - 0: the date string"
InvalidCharacterInNumber,"Ungültiges Zeichen in Zahl","error when there is a non-numeric character in a number"
InvalidYear,"Ungültiges Jahr","error when the year is invalid in a date"
NoDigitsFound,"Numerischer Wert erforderlich","error when a number is required and no digits are entered"
NumberFormatError,"Der numerische Wert hat das falsche Format.","friendly error msg for NumberFormatException"
MaxValueExceeded,"Der Wert ""{0}"" ist höher als der zulässige Höchstwert, ""{1}"".", "Error when value is greater than allowed (integer overflow)"
MinValueExceeded,"Der Wert ""{0}"" ist niedriger als der zulässige Mindestwert, ""{1}"".", "Error when value is less than allowed (integer underflow)"
WholeNumberRequiredKey,"Der Wert ""{0}"" muss eine Ganzzahl sein.", "Error when integer value contains fractions"

