8859_1,,
Today,heute, Technical: String representing today (for convenient input).  Must be lowercase.
Yesterday,gestern, Technical: String representing yesterday (for convenient input).  Must be lowercase.
Tomorrow,morgen, Technical: String representing tomorrow (for convenient input).  Must be lowercase.
YearRelativeFmt, "d.M.", Technical: Must be a valid java.text.DateFormat format.
DefaultFmt, "EEE, d. MMM yyyy", Technical: Must be a valid java.text.DateFormat format.
LongDefaultFmt,"EEE, d. MMM yyyy HH:mm 'Uhr'","Technical: Must be a valid java.text.DateFormat format.; "
TodayTimeFmt, "'Heute', HH:mm 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
TodayFmt, "'Heute'", Technical: Must be a valid java.text.DateFormat format.
ConciseDateTimeFmt, "d.M.yyyy HH:mm 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
PaddedConciseDateTimeFmt, " dd.MM.yyyy HH:mm 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
PaddedDateTimeFmt,"dd.MM.yyyy HH:mm 'Uhr'","Technical: Must be a valid java.text.DateFormat format.; "
PaddedPreciseDateTimeFmt,"dd.MM.yyyy HH:mm:ss 'Uhr'","Technical: Must be a valid java.text.DateFormat format.; "
ConciseFmt, "d.M.yyyy", Technical: Must be a valid java.text.DateFormat format.
PaddedConciseFmt, "dd.MM.yyyy", Technical: Must be a valid java.text.DateFormat format.
ExtraConciseFmt,"dd.MM.yy","Technical: Must be a valid java.text.DateFormat format.; "
DayDateMonthYearFmt, "EEE, dd. MMM yyyy", Technical: Must be a valid java.text.DateFormat format.
DateMonthYearFmt, "d. MMMM yyyy", Technical: Must be a valid java.text.DateFormat format.
FullDateMonthYearFmt, "d. MMMM yyyy, HH:mm 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
FullDateMonthYearTZFmt,"d. MMMM yyyy, HH:mm 'Uhr', zzzz","Technical: Must be a valid java.text.DateFormat format.; "
LongDayDateMonthYearFmt, "EEEE, d. MMMM yyyy", Technical: Must be a valid java.text.DateFormat format.
LongDayDateMonthYearTZFmt, "EEEE, d. MMMM yyyy, zzz", Technical: Must be a valid java.text.DateFormat format.
FullDayDateMonthYearFmt, "EEEE, d. MMMM yyyy, HH:mm 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
FullDayDateMonthYearTZFmt,"EEEE, d. MMMM yyyy, HH:mm 'Uhr', zzzz","Technical: Must be a valid java.text.DateFormat format.; "
HoursMinutesSecondsFmt, "HH:mm:ss", Technical: Must be a valid java.text.DateFormat format.
DayOfWeekFmt, "EEE", Technical: Must be a valid java.text.DateFormat format.
FormatsSeparator, ";", Technical: separator character for date format pattern lists
SystemFormats, "d.M.yy;d.M.yyyy;d-MMM-yyyy;d-MMM-yy;d/M/yy;d/M/yyyy", Technical: list of date formats to try when parsing any date string
UserFormats, "EEE, d. MMM yyyy;EEE, d. MMM yy;yyyy-M-dd", Technical: list of date formats to try when parsing user date strings
ReportingDateFmt,"d MMM yyyy","Date format for reporting."
HourMinuteSecond,"HH:mm:ss 'Uhr'", Technical: Must be a valid java.text.DateFormat format.
HourMinuteAMPM,"HH:mm 'Uhr'", e.g. 12:08 PM Technical: Must be a valid java.text.DateFormat format. There is no am/pm in German -> use the same format as in HourMinuteSecond
DayOfWeekStart,"1","Sunday:0 Monday:1 e.g., German calendar starts on Monday"
CalendarHeaderFmt,"MMM yyyy", Header of calender shown in Date Chooser.
