8859_1
,,
2751, "Base64.encodeByteBuffer: IOException: {0}", 0-stack trace of IOException
2752, "Base64: {0}: FileNotFoundException", 0-name of file
2753, "Base64: {0}: IOException", 0-name of file
2754, "Base64: {0}: unable to close FileInputStream", 0-name of file
2755, "Key null for index {0}, count {1}, tablesize {2}", 0-index
2756, "Error serializing hashtable: {0}",
2757, "Error deserializing hashtable: {0}",
2758, "{0}: {1}", 0-directory error message 1-absoulute path
2759, "{0}", 0-error message that came from trying to archive a file
2760, "removeOldestUntil: failed refinding key {0}. index={1}; retry={2}", 0-Key in LRUHashtable 1-index 2-nextKey
2761, "Failed to replace object",
2762, "Cannot persist an object because its class is unknown: {0}", 0-The object that is trying to be written to the stream
2763, "Failed to instance object because of invalid class index {0}.",
,,
2764, "class {0} or the classes it references not found in classForName. Turn on util/debug to obtain more information.", 0-name of the class
2765, "class {0} not instantiable via ClassUtil.newInstance(): {1}",
2766, "class {0} not accessable via ClassUtil.newInstance(): {1}", 0-name of class 1-exception
2767, "UnknownHostException in setupHost: {0}",
2768, "Unexpected UnknownHostException in setupHost: {0}",
2769, "Error loading object: {0}",
2770, "Failed to copy file.  Source: {0}, Target: {1}, error {2}", 0-source file name 1-target file name 2-exception
2771, "Error while closing file {0}.  Error {1}.", 0-file name 1-exception
2772, "Invalid protocol for use with FileUtil.file(url): {0}.", 0-urlContext
2773, "Could not create URL for {0}: {1}", 0-string representation of a URL 1-exception
2774, "Cannot establish base URL {0}: {1}", 0-filePath 1-exception
2776, "FileReader: IOException while closing streams {0}", 0-exception
2777, "FileReader couldn''t open stream: {0}", 0-exception
2778, "FileWriter: IOException while closing streams {0}", 0-exception
2779, "FileWriter couldn''t open stream: {0}", 0-exception
2780, "HPPollEvent: connection null in processEvent",
2781, "Exception during shutdown {0}", 0-exception
2782, "Exception during monitor processing. {0}", 0-exception
2784, "Exception during installation: {0}", 0-exception
2785, "Unable to initialize network connectivity on port {0}. Error: {1}", 0-port number 1-exception
2786, "Unrecoverable error results in death of current thread",
2787, "ServerUtil.compareFilenames: got exception trying to close files ({0})", 0-exception
2788, "Problem reading Mime Type mapping {0}: {1}", 0-MimeTypeFile
2789, "{0}", 0-exception
2790, "Exception during service shutdown: {0}", 0-exception
2791, "While processing service: {0} an exception occurred: {1}", 0-name of monitor 1-exception
2792, "Chrono {0} started twice.", 0-name
2793, "end of field not followed by newline or comma in ""{0}"", line {1}", 0-path 1-lineNumber
2794, "Event loop caught exception : {0}", 0-e
2795, "Error opening log file {0}, Error: {1}.  Another process or application may have the file open.", 0-file.getAbsolutePath() 1-error
2796, "Unreadable directory {0}", 0-dirName
2797, "Unable to read contents of directory {0}", 0-dirName
2798, "Unknown hash function for String encountered.\nDefaulting to slower implementation",
2799, "Wait interrupted in lock {0}.  Continuing", 0-this.name
2800, "Lock {0} wait time of {1} sec exceeded.  Total wait time: {2} Handler state {3}, iterations{4}", 0-this.name 1-Integer.toString((int)(conditions.timeoutIntervalMillis()/Date.MillisPerSecond)) 2-Integer.toString(lockHandlerContext.waitTimeSeconds) 3-this 4-Integer.toString(lockHandlerContext.iteration)
2801, "Unable to archive log file: {0} to file {1}.  ", 0-file.getAbsolutePath() 1-saveToFile.getAbsolutePath()
2802, "{0}: purgeTrigger changed from {1} to {2}", 0-name 1-oldTrigger 2-this.purgeTrigger
2803, "{0}: insufficient purge, growingLRUHashtable", 0-name
2804, "Error constructing url ({0})", 0-urlString
2805, "Error reading {0}: {1}", 0-url 1-e
2806, "Tried to set both the day of the week and the day of the month. Month ignored.",
2807, "Number format problem with {0}", 0-cursor
2808, "Unknown day of the week, 0-{0}", 1-dayOfWeekImage
2809, "create temp file: {0} is not a directory", 0-directory.getAbsolutePath()
2810, "Unable to create temp file in {0} tries", 0-Integer.toString(TempFileMaxTries)
2811, "Assert failed: {0} \nThread: {1} {2}\n{3}", 0-message 1-Thread.currentThread().getName() 2-ThreadDebugState 3-stackTrace()
